大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
今聖上有意於民一政之施務在養民一令之行深戒擾民	Kim Thánh thượng hữu ý ư dân, nhất chính chi thi vụ tại dưỡng dân, nhất lệnh chi hành thâm giới nhiễu dân.
其爱民之心真天地父母之爲量者	Kì ái dân chi tâm, chân thiên địa phụ mẫu chi vi lượng giả.
第奉行者未能仰體德意務行苛虐𧡟爲奢侈該一縣則困一縣之民該一社則困一社之民凣其擾民之事無所不爲	Đệ phụng hành giả, vị năng ngưỡng thể đức ý, vụ hành hà ngược, quan vi xa xỉ, cai nhất huyện tắc khốn nhất huyện chi dân, cai nhất xã tắc khốn nhất xã chi dân, phàm kì nhiễu dân chi sự, vô sở bất vi,..
使天下之民男或無衣女或無裳𰙔唱之席不復置婚姻之禮不復備養生送死無所資飲食日用無所給貧弱氓隷昆虫草木俱不得遂其生	sử thiên hạ chi dân, nam hoặc vô y, nữ hoặc vô thường, ca xướng chi tịch bất phục trí, hôn nhân chi lễ bất phục bị, dưỡng sinh tống tử vô sở tư, ẩm thực nhật dụng vô sở cấp, bần nhược manh lệ côn trùng thảo mộc cụ bất đắc toại kì sinh.
是以感動天地致天心未上順洪水之灾泛溢過常得非時政所䦕其可不恐惧脩省思所以致此之𠧨乎必䏻行保民之政則下順民心上合天意而轉灾爲祥年榖屡登家人給足海内昇平國家億萬年之基業今其自是有永矣	Thị dĩ, cảm động thiên địa, trí thiên tâm vị thượng thuận, hồng thuỷ chi tai phiếm dật quá thường, đắc phi thời chính sở quan, kì khả bất khủng cụ, tu tỉnh, tư sở dĩ trí thử chi cữu hồ? Tất năng hành bảo dân chi chính tắc hạ thuận dân tâm, thượng hợp thiên ý, nhi chuyển tai vi tường, niên cốc lũ đăng, gia nhân cấp túc, hải nội thăng bình, quốc gia ức vạn niên chi cơ nghiệp kim kì tự thị hữu vĩnh hĩ".
冬十月太傅清郡公鄭𭫨擒得僞蕭國于天健	Đông, thập nguyệt, thái phó Thanh quận công Trịnh Tráng cầm đắc nguỵ Tiêu Quốc vu Thiên Kiện..
山蕭國金榜不奪人也	sơn [Tiêu Quốc Kim Bảng, Bất Đoạt nhân dã].
癸丑十四年明萬曆十一年	Quý Sửu, thập tứ niên, [Minh, Vạn Lịch thập nhất niên].
四春會試天下士人	tứ Xuân, Hội thí thiên hạ sĩ nhân.
取中格裴必勝等七名	Thủ trúng cách Bùi Tất Thắng đẳng thất danh.
至廷試賜阮俊等七名並同進士出身	Chí Đình thí, tứ Nguyễn Tuấn đẳng thất danh tịnh đồng Tiến sĩ xuất thân.
夏四月遣正使劉廷質阮登副使阮德澤黄琦阮政阮師卿等二部如明歳貢	Hạ, tứ nguyệt, khiển chánh sứ Lưu Đình Chất, Nguyễn Đăng, phó sứ Nguyễn Đức Trạch, Hoàng Kì, Nguyễn Chính, Nguyễn Sư Khanh đẳng nhị bộ như Minh tuế cống.
五月望月有食之	Ngũ nguyệt, vọng, nguyệt hữu thực chi.
六月順廣太尉端國公阮黄卒	Lục nguyệt, Thuận Quảng thái uý Đoan quốc công Nguyễn Hoàng tốt.
秋七月望月有食之	Thu, thất nguyệt, vọng, nguyệt hữu thực chi.
八月命太傅清郡公鄭𭫨經畧安廣等處恢拓境土	Bát nguyệt, mệnh Thái phó Thanh quận công Trịnh Tráng kinh lược Yên Quảng đẳng xứ khôi thác cảnh thổ.
所至人民㱕附留属将鎮守而還	Sở chí, nhân dân quy phụ, lưu thuộc tướng trấn thủ nhi hoàn.
冬十一月命朝臣分行各處問民疾苦	Đông, thập nhất nguyệt, mệnh triều thần phân hành các xứ vấn dân tật khổ.
漂流者饒役三年使得安居復業	Phiêu lưu giả nhiêu dịch tam niên sử đắc an cư phục nghiệp.
甲寅十五年明萬曆十二年	Giáp Dần, thập ngũ niên, [Minh, Vạn Lịch thập nhị niên].
四夏六月勑封王孫鄭杖爲廉郡公鄭柞爲荣郡公鄭梌爲香郡公鄭榜爲會郡公鄭榛爲普郡公鄭廉爲朗郡公鄭栻爲倫郡公鄭棣爲和郡公	tứ Hạ, lục nguyệt, sắc phong vương tôn Trịnh Trượng vi Liêm quận công, Trịnh Tạc vi Vinh quận công, Trịnh Đồ vi Hương quận công, Trịnh Bảng vi Hội quận công, Trịnh Trăn vi Phổ quận công, Trịnh Liêm vi Lãng quận công, Trịnh Thức vi Luân quận công, Trịnh Lệ vi Hoà quận công.
秋九月封王子鄭棣爲瓊郡公	Thu, cửu nguyệt, phong vương tử Trịnh Lệ vi Quỳnh quận công.
以刑科都給事中阮有作爲海陽參政	Dĩ Hình khoa đô cấp sự trung Nguyễn Hữu Tác vi Hải Dương tham chính.
冬十一月雷嗚	Đông, thập nhất nguyệt, lôi ô.
乙卯十六年明萬曆十三年	Ất Mão, thập lục niên, [Minh, Vạn Lịch thập tam niên].
四春二月朝堂阮澧等啓陳時弊凣八條	tứ Xuân, nhị nguyệt, triều đường Nguyễn Lễ đẳng khải trần thời tệ phàm bát điều.
平安王嘉納之特厚賞賜	Bình An Vương gia nộp chi, đặc hậu thưởng tứ.
三月朔日有食之	Tam nguyệt, sóc, nhật hữu thực chi.
二十八日申時弘烈盛烈等社陂無故水涸當五刻後復如故	Nhị thập bát nhật, Thân thì, Hoằng Liệt, Thịnh Liệt đẳng xã bi vô cố thuỷ hạc, đương ngũ khắc hậu phục như cố.
秋閏八月遣少尉舒郡公阮景堅等𭁈刑部尚書兼東閣𭓇士羙溪侯阮澧等迎接使臣回還	Thu, nhuận bát nguyệt, khiển thiếu uý Thư quận công Nguyễn Cảnh Kiên đẳng dữ Hình bộ thượng thư kiêm Đông các học sĩ Mĩ Khê hầu Nguyễn Lễ đẳng nghênh tiếp sứ thần hồi hoàn.
丙辰十七年明萬曆十四年	Bính Thìn, thập thất niên, [Minh Vạn Lịch thập tứ niên].
四春正月二十六日月有食之是月會試天下士人	tứ Xuân, chính nguyệt, nhị thập lục nhật, nguyệt hữu thực chi Thị nguyệt, Hội thí thiên hạ sĩ nhân.
取中格武勉等四名	Thủ trúng cách Vũ Miễn đẳng tứ danh.
及廷試賜黎致用等同進士出身	Cập Đình thí, tứ Lê Trí Dụng đẳng đồng Tiến sĩ xuất thân.
二月以吏部右	Nhị nguyệt, dĩ Lại bộ Hữu..
侍郎春陽伯阮名世爲户部左侍郎工部右侍郎禮川伯阮克寬爲刑部左侍郎御史󰱑僉都御史芳泉伯阮惟時爲副都御史	thị lang Xuân Dương bá Nguyễn Danh Thế vi Hộ bộ Tả thị lang; Công bộ Hữu thị lang Lễ Xuyên bá Nguyễn Khắc Khoan vi Hình bộ Tả thị lang; Ngự sử đài thiêm đô ngự sử Phương Tuyền bá Nguyễn Duy Thì vi Phó đô ngự sử.
又論奉使功陞寺卿仁嶺伯劉廷質爲吏部右侍郎福岩伯阮登爲户部右侍郎並加侯爵參政唐川子阮政爲太僕寺卿伯爵	Hựu luận phụng sứ công, thăng Tự khanh Nhân Lĩnh bá Lưu Đình Chất vi Lại bộ Hữu thị lang; Phúc Nham bá Nguyễn Đăng vi Hộ bộ Hữu thị lang, tịnh gia hầu tước; Tham chính Đường Xuyên tử Nguyễn Chính vi Thái bộc Tự khanh bá tước.
三月二十七日陞署衛事東陽侯阮文祚爲沔郡公花陽侯王珠爲浦郡公	Tam nguyệt, nhị thập thất nhật, thăng Thự vệ sự Đông Dương hầu Nguyễn Văn Tộ vi Miện quận công, Hoa Dương hầu Vương Châu vi Phố quận công.
秋九月户部左侍郎衍嘉侯黎弼四吏部右侍	Thu, cửu nguyệt, Hộ bộ tả thị lang Diễn Gia hầu Lê Bật Tứ, Lại bộ Hữu thị..
郎仁嶺侯劉廷質等啓言於平安王以爲天心仁爱必形於譴告之中或不知自省天又出灾異以警惧之	lang Nhân Lĩnh hầu Lưu Đình Chất đẳng khải ngôn ư Bình An Vương dĩ vi: "Thiên tâm nhân ái, tất hình ư khiển cáo chi trung, hoặc bất tri tự tỉnh thiên hựu xuất tai dị dĩ cảnh cụ chi.
以此見天心仁爱人君如此其至	Dĩ thử kiến thiên tâm nhân ái nhân quân như thử kì chí.
本年五六月間農務正殷天既作旱熯耕農觖望	Bản niên ngũ lục nguyệt gian, nông vụ chính ân, thiên ký tác hạn hán, canh nông quyết vọng.
兹八月日禾榖方成天又降旱灾遠被郡國	Tư bát nguyệt nhật, hoà cốc phương thành, thiên hựu giáng hạn tai viễn bị quận quốc.
一年二旱灾異間見屡出閭里之民多有嗟怨得非時政所䦕使之然󰊹	Nhất niên nhị hạn, tai dị gian kiến lũ xuất, lư lí chi dân đa hữu ta oán, đắc phi thời chính sở quan sử chi nhiên dư.
兹聞令催清華處各縣社逐項選益另兵	Tư văn lênh thôi Thanh Hoa xứ các huyện xã trục hạng tuyển ích lánh binh.
恐非閲選之時	Khủng phi duyệt tuyển chi thời.
若此令一行其諸權勢所該隨而效之更加選補民命将	Nhược thử lệnh nhất hành kì chư quyền thế sở cai tuỳ nhi hiệu chi, cánh gia tuyển bổ, dân mệnh tương..
何以堪恭乞以敬天恤民爲心酌停益兵以爲仁政之事	hà dĩ kham? Cung khất dĩ kính thiên tuất dân vi tâm, chước đình ích binh dĩ vi nhân chính chi sự.
如此則民心悅天意得和氣致祥耳雨降嘉禾興黎民陶給足之休國勢奠泰磐之壮而祚胤永無窮矣	Như thử tắc dân tâm duyệt, thiên ý đắc, hoà khí trí tường nhĩ, vũ giáng gia hoà hưng lê dân đào cấp túc chi hưu, quốc thế điện thái bàn chi tráng nhi tộ dận vĩnh vô cùng hĩ".
丁巳十八年明萬曆十五年	Đinh Tị thập bát niên, [Minh Vạn Lịch thập ngũ niên].
四春正月望月有食之	tứ Xuân, chính nguyệt, vọng, nguyệt hữu thực chi.
以郎中裴秉彛爲安廣道監察御史以其󰁮宗忠義始終全節故也	Dĩ Lang trung Bùi Bỉnh Di vi Yên Quảng đạo giám sát ngự sử, dĩ kì cử tông trung nghĩa thuỷ chung toàn tiết cố dã.
又以郎中杜世隆爲廣南道監察御史以其父有功於國故擢用之	Hựu dĩ Lang trung Đỗ Thế Long vi Quảng Nam đạo giám sát ngự sử, dĩ kì phụ hữu công ư quốc cố trạc dụng chi.
秋八月十五日有颶風大起水潦淹浸禾榖盡	Thu, bát nguyệt, thập ngũ nhật, hữu cụ phong đại khởi, thuỷ lạo yêm tẩm, hoà cốc tận..
空	không.
十六日月有食之	Thập lục nhật, nguyệt hữu thực chi.
加吏部尚書掌六部事兼御史󰱑都御史澧郡公阮文階爲少傅	Gia Lại bộ thượng thư chưởng lục bộ sự kiêm Ngự sử đài đô ngự sử Lễ quận công Nguyễn Văn Giai vi thiếu phó.
九月時五榖當熟颶風大起鹹水破潰近海之民多被其害	Cửu nguyệt, thời ngũ cốc đương thục, cụ phong đại khởi, hàm thuỷ phá hội, cận hải chi dân đa bị kì hại.
山西處大蝗	Sơn Tây xứ đại hoàng.
戊午十九年明萬曆十六年	Mậu Ngọ thập cửu niên, [Minh, Vạn Lịch thập lục niên].
四春正月望月有食之	tứ Xuân, chính nguyệt, vọng, nguyệt hữu thực chi.
二月命太傅清郡公鄭𭫨率属将舒郡公阮景堅澧郡公阮文階拔郡公缺名右郡公謝世福登郡公阮啓附郡公阮潶𭁈督視禮部左侍郎芳蘭侯阮實又命太保萬郡公鄭椿率属将𣹟郡	Nhị nguyệt, mệnh thái phó Thanh quận công Trịnh Tráng suất thuộc tướng Thư quận công Nguyễn Cảnh Kiên, Lễ quận công Nguyễn Văn Giai, Bạt quận công [khuyết danh], Hữu quận công Tạ Thế Phúc, Đăng quận công Nguyễn Khải, Phụ quận công Nguyễn Hắc dữ Đốc thị Lễ bộ Tả thị lang Phương Lan hầu Nguyễn Thực, hựu mệnh Thái bảo Vạn quận công Trịnh Xuân suất thuộc tướng Cống quận..
公黄廷逢倫郡公鄭栻普郡公鄭榛朗郡公鄭稴𭁈督視副都御史芳泉伯阮惟時等分爲二道進兵會擊莫慶王及僞智水等	công Hoàng Đình Phùng, Luân quận công Trịnh Thức, Phổ quận công Trịnh Trăn, Lãng quận công Trịnh Liêm dữ Đốc thị phó Đô ngự sử Phương Tuyền bá Nguyễn Duy Thì đẳng phân vi nhị đạo tiến binh hội kích Mạc Khánh Vương cập nguỵ Trí Thuỷ đẳng.
賊黨聞之皆遠遁	Tặc đảng văn chi giai viễn độn.
太傅清郡公鄭𭫨密差富禄侯缺名斬得僞立郡公	Thái phó Thanh quận công Trịnh Tráng mật sai Phú Lộc hầu [khuyết danh] trảm đắc nguỵ Lập quận công.
三月命太保鎮郡公鄭林率属将禄郡公缺名會郡公鄭榜等往伐武崖僞黨	Tam nguyệt, mệnh Thái bảo Trấn quận công Trịnh Lâm suất thuộc tướng Lộc quận công [khuyết danh], Hội quận công Trịnh Bảng đẳng vãng phạt Vũ Nhai nguỵ đảng.
以刑部左侍郎禮川伯阮克寬爲督視	Dĩ Hình bộ Tả thị lang Lễ xuyên bá Nguyễn Khắc Khoan vi Đốc thị.
又添差左軍營将士一千前軍營将士一千𭁈俱進擊	Hựu thiêm sai Tả quân dinh tướng sĩ nhất thiên, Tiền quân dinh tướng sĩ nhất thiên dữ câu tiến kích.
賊黨聞之震駭悉	Tặc đảng văn chi chấn hãi tất..
皆解散	giai giải tán.
夏四月時榖大豊稔乃分遣培築各處堤路以防水患	Hạ, tứ nguyệt, thời cốc đại phong nhẫm, nãi phân khiển bồi trúc các xứ đê lộ dĩ phòng thuỷ hoạn.
是月安定縣丹泥上社銅皷山崩	Thị nguyệt, Yên Định huyện, Đan Nê Thượng xã, Đồng Cổ sơn băng.
命官往告祭之	Mệnh quan vãng cáo tế chi.
二十四日寅時有彗星見于西南方形如紅絹	Nhị thập tứ nhật, Dần thì, hữu Tuệ tinh hiện vu Tây Nam phương, hình như hồng quyên.
二十八日酉時有星直騰西方走形如帛疋	Nhị thập bát nhật, Dậu thì, hữu tinh trực đằng Tây phương tẩu, hình như bạch thất.
閏四月命太傅清郡公鄭𭫨太保萬郡公鄭椿等督領象馬士卒往伐僞豪郡徒黨于安勇地	Nhuận tứ nguyệt, mệnh Thái phó Thanh quận công Trịnh Tráng, Thái bảo Vạn quận công Trịnh Xuân đẳng đốc lĩnh tượng mã sĩ tốt vãng phạt nguỵ Hào quận đồ đảng vu Yên Dũng địa..
方	phương.
諸軍被嵐瘴而回士馬多損	Chư quân bị lam chướng nhi hồi, sĩ mã đa tổn.
秋八月天雨金形如黄米又雨米如黒米雨酒如甘酒	Thu, bát nguyệt, thiên vũ kim, hình như hoàng mễ, hựu vũ mễ, như hắc mễ, vũ tửu như cam tửu.
九月時有白氣形如鉞直立每夜五更常見在東南方經是月下旬至十月上旬始滅	Cửu nguyệt, thời hữu bạch khí hình như việt trực lập, mỗi dạ ngũ canh thường hiện tại Đông Nam phương, kinh thị nguyệt hạ tuần chí thập nguyệt thượng tuần thuỷ diệt.
冬十月四日吏部左侍郎富春侯吳致和户部左侍郎衍嘉侯黎弼四與范珍等啓言于平安王曰窃見本年九月下旬有異星寅刻見于南方長一丈餘又有雷動非時	Đông, thập nguyệt, tứ nhật, Lại bộ Tả thị lang Phú Xuân hầu Ngô Trí Hoà, Hộ bộ Tả thị lang Diễn Gia hầu Lê Bật Tứ dữ Phạm Trân đẳng khải ngôn vu Bình An Vương viết: "Thiết kiến, bản niên cửu nguyệt hạ tuần hữu dị tinh Dần khắc hiện vu Nam phương, trường nhất trượng dư, hựu hữu lôi động phi thời.
前月又有雨黒米雨	Tiền nguyệt hựu hữu vũ hắc mễ, vũ..
沙金	sa kim.
等事涉扵恠異得非時政所䦕	Đẳng sự thiệp ư quái dị, đắc phi thời chính sở quan.
其他背理傷道难以疏奉謹以六事陳之其一乞脩德以祈天命其二抑權豪以養民力其三禁煩苛以厚民生其四抑奢侈以豊民財其五禁盗劫以奠民居其六脩軍政以護民生	Kì tha bội lí thương đạo nan dĩ sớ phụng, cẩn dĩ lục sự trần chi: kì nhất: khất tu đức dĩ kì thiên mệnh; kì nhị: ức quyền hào dĩ dưỡng dân lực; kì tam: cấm phiền hà dĩ hậu dân sinh; kì tứ: ức xa xỉ dĩ phong dân tài; kì ngũ: cấm đạo kiếp dĩ điện dân cư; kì lục: tu quân chính dĩ hộ dân sinh".
時帝以國家庶事委平安王總裁故洞達謹啓欲以上聞輔行仁政	Thời, Đế dĩ quốc gia thứ sự uỷ Bình An Vương tổng tài, cố đỗng đạt cẩn khải dục dĩ thượng văn phụ hành nhân chính.
吏部右侍郎仁嶺侯劉廷質啓言于平安王曰窃聞天降灾祚在德𭁈否	Lại bộ Hữu thị lang Nhân Lĩnh hầu Lưu Đình Chất khải ngôn vu Bình An Vương viết: "Thiết văn, thiên giáng tai tộ tại đức dữ phủ.
作善則降之以祥不善則警之以異	Tác thiện tắc giáng chi dĩ tường, bất thiện tắc cảnh chi dĩ dị.
然因灾異而脩德則無	Nhiên nhân tai dị nhi tu đức tắc vô..
損	tổn.
是以古人以天自處而致謹於天命之際	Thị dĩ, cổ nhân dĩ thiên tự xử nhi trí cẩn ư thiên mệnh chi tế.
漢文帝克承天心而變異消弭宋景公一發善言而灾星退舍	Hán Văn Đế khắc thừa thiên tâm nhi biến dị tiêu nhị, Tống Cảnh Công nhất phát thiện ngôn nhi tai tinh thoái xả.
國家自恢復以來天地未應美祥未至而灾異頗有疊出	Quốc gia tự khôi phục dĩ lai, thiên địa vị ứng, mĩ tường vị chí, nhi tai dị phả hữu điệp xuất.
本年秋候天雨黑炭則是異也而當時諱言灾異指爲雨米	Bản niên thu hậu, thiên vũ hắc thán tắc thị dị dã, nhi đương thời huý ngôn tai dị chỉ vi vũ mễ.
𡸈至和如史皇之時而天爲雨粟者乎天雨黄沙却是恠也而術士好言祥瑞指爲雨金	Khởi chí hoà như sử Hoàng chi thời nhi thiên vi vũ túc giả hồ? Thiên vũ hoàng sa khước thị quái dã, nhi thuật sĩ hiếu ngôn tường thuỵ chỉ vi vũ kim.
𡸈亨通如夏禹之世而天爲雨金者乎意者既示之警或未省悟九月下旬越本月旬異星見于東南方見者	Khởi hanh thông như Hạ Vũ chi thế, nhi thiên vi vũ kim giả hồ? Ý giả ký thị chi cảnh hoặc vị tỉnh ngộ, cửu nguyệt hạ tuần việt bản nguyệt tuần, dị tinh hiện vu Đông Nam phương, kiến giả..
無不駭慄尤非小異也	vô bất hãi lật, vưu phi tiểu dị dã.
得非德之未脩政猶闕失而𦤶然歟今政事所行不逮往年命令之布該將不體上人寬恤之意務行苛虐竭民財産愁苦之聲足以感動上天而天警以恠異人主覩是宜以自省也	Đắc phi đức chi vị tu chính do khuyết thất nhi trí nhiên dư? Kim chính sự sở hành bất đãi vãng niên, mệnh lệnh chi bố cai tương bất thể thượng nhân khoan tuất chi ý, vụ hành hà ngược, kiệt dân tài sản, sầu khổ chi thanh túc dĩ cảm động thượng Thiên nhi Thiên cảnh dĩ quái dị, nhân chủ đổ thị nghi dĩ tự tỉnh dã.
恭願謹祗天戒惠養小民凡一毫有便於民者行之一弊有妨於民者去之	Cung nguyện cẩn chi thiên giới, huệ dưỡng tiểu dân, phàm nhất hào hữu tiện ư dân giả hành chi, nhất tệ hữu phương ư dân giả khử chi.
尤且施仁政於民	Vưu thả thi nhân chính ư dân.
京畿庯坊之民所當恤也則號令諸將禁戢攘奪以强天下之原本清華四政之民所當恤也則申勑諸將勿爲煩擾以壮國	Kinh kì phố phường chi dân sở đáng tuất dã, tắc hiệu lệnh chư tướng cấm tập nhương đoạt dĩ cường thiên hạ chi nguyên bản; Thanh Hoa tứ chiếng chi dân sở đáng tuất dã, tắc thân sắc chư tướng vật vi phiền nhiễu dĩ tráng quốc..
家之堂基	gia chi đường cơ.
如此近者被其澤而説遠者聞其風而來斯得民矣	Như thử cận giả bị kì trạch nhi duyệt, viễn giả văn kì phong nhi lai, tư đắc dân hĩ.
人心悅於下天道應於上將見灾星轉爲景星之祥沴雨轉爲甘雨之瑞諸福之物無不畢至而王道大成矣	Nhân tâm duyệt ư hạ, thiên đạo ứng ư thượng, tương kiến tai tinh chuyển vi cảnh tinh chi tường, lệ vũ chuyển vi cam vũ chi thuỵ, chư phúc chi vật vô bất tất chí, nhi Vương đạo đại thành hĩ".
朝臣上奏其略曰天人相與之際甚可畏也	Triều thần thượng tấu, kì lược viết: "Thiên nhân tương dữ chi tế thậm khả uý dã.
人事不脩天以灾異譴告之	Nhân sự bất tu, thiên dĩ tai dị khiển cáo chi.
兹本年九月下旬越本月上旬每夜五鼓沴星現東南方形如白雲形如白練形如尖梭形如芒刃頭尾尖細視之駭慄	Tư bản niên cửu nguyệt hạ tuần việt bản nguyệt thượng tuần, mỗi dạ ngũ cổ, lệ tinh hiện Đông Nam phương, hình như bạch vân, hình như bạch luyện, hình như tiêm toa, hình như mang nhận, đầu vĩ tiêm tế, thị chi hãi lật.
又有雨下金如土雨下米如黒雨下酒如	Hựu hữu vũ hạ kim như thổ, vũ hạ mễ như hắc, vũ hạ tửu như..
甘嗚非時之雷灾異稠見	cam, ô phi thời chi lôi, tai dị trù hiện.
變不虚生意者内有失德外有失政紀綱彫弛法令未張官吏苛刻民星摇動人事多失和而致然歟謹察周書王省惟歲卿士惟月庶民惟星盖言人事有得失休咎之徵各以類應	Biến bất hư sinh ý giả, nội hữu thất đức, ngoại hữu thất chính, kỷ cương điêu thỉ, pháp lệnh vị trương, quan lại hà khắc, dân tinh dao động, nhân sự đa thất hoà nhi trí nhiên dư? Cẩn sát Chu thư: "Vương tỉnh duy Tuế, khanh sĩ duy nguyệt, thứ dân duy tinh", cái ngôn nhân sự hữu đắc thất, hưu cữu chi trưng các dĩ loại ứng.
兹年異星夜見灾沴並作此上天示戒乃恐惧憂勤之日	Tư niên dị tinh dạ hiện, tai lệ tịnh tác, thử thượng thiên thị giới, nãi khủng cụ ưu cần chi nhật.
見天心仁爱每寓於譴告之中請修德以禳之可乎	Kiến thiên tâm nhân ái, mỗi ngụ ư khiển cáo chi trung, thỉnh tu đức dĩ nhương chi khả hồ.
昔宋景公一發善言而灾星爲之退舍宋太宗一開齋禳而彗星自然隨滅	Tích Tống Cảnh Công nhất phát thiện ngôn, nhi tai tinh vị chi thoái xả, Tống Thái Tông nhất khai trai nhương, nhi Tuệ tinh tự nhiên tuỳ diệt.
視前代所行之事可爲徵驗	Thị tiền đại sở hành chi sự, khả vi trưng nghiệm.
臣	Thần..
等伏乞髙明大德因灾而惧側身脩行設祈天𡊨齋戒密禱庶幾誠心感格玄象隨應沴星退舍和氣致祥隂陽調而風雨時群生和而萬物殖海宇措衽席之康國家置泰磐之壮基緒之傳今其自是有永于以衍宗社億萬年無窮之福	đẳng phục khất cao minh đại đức nhân tai nhi cụ trắc thân tu hành, thiết kì thiên đàn, trai giới mật đảo, thứ cơ thành tâm cảm cách, huyền tượng tuỳ ứng lệ tinh thoái xả, hoà khí trí tường, âm dương điều nhi phong vũ thời, quần sinh hoà nhi vạn vật thực, hải vũ thố nhẫm tịch chi khang, quốc gia trí Thái bàn chi tráng, cơ tự chi truyền kim kì tự thị hữu vĩnh, vu dĩ diễn tông xã ức vạn niên vô cùng chi phúc".
上覧其奏留中	thượng lãm kì tấu lưu trung.
十一月夜五更彗星見東方月餘始滅朝臣啓于平安王曰本年九月下旬有異星見于東南方本月十一日夜再有異星出見其灾異屡見如此	Thập nhất nguyệt, dạ ngũ canh, Tuệ tinh hiện Đông phương, nguyệt dư thuỷ diệt, triều thần khải vu Bình An Vương viết: "Bản niên, cửu nguyệt hạ tuần hữu dị tinh hiện vu Đông Nam phương; bản nguyệt thập nhất nhật dạ tái hữu dị tinh xuất hiện, kì tai dị lũ kiến như thử,..
意者上德有所未脩政事有所舛紊人謀或有異圖而致然歟如人君再拱扵上所親者正人所行者正道間有細人出入内殿導引爲非如官方已有吏部反特許聀名非例賦税已有户部反差人到民爭收詞訟已有該勘衙門間有咱人誣告捉人取財軍項已有府司衛所間有差人勾取軍色重役乞具本革前弊照行	ý giả thượng đức hữu sở vị tu, chính sự hữu sở suyễn vặn, nhân mưu hoặc hữu dị đồ nhi trí nhiên dư? Như nhân quân tái củng ư thượng, sở thân giả chính nhân, sở hành giả chính đạo, gian hữu tế nhân xuất nhập nội điện, đạo dẫn vi phi, như quan phương dĩ hữu Lại bộ, phản đặc hứa chức danh phi lệ; phú thuế dĩ hữu Hộ bộ, phản sai nhân đáo dân tranh thu; từ tụng dĩ hữu cai khám nha môn, gian hữu thính nhân vu cáo, tróc nhân thủ tài; quân hạng dĩ hữu phủ ti vệ sở, gian hữu sai nhân câu thủ, quân sắc trọng dịch, khất cụ bản cách tiền tệ, chiếu hành.
紀綱法度已有成憲具在如該将止許該兵不有該民兹各該官專民專財專殺又私󰱇益兵一家至五	Kỉ cương pháp độ dĩ hữu thành hiến cụ tại, như cai tướng chỉ hứa cai binh bất hữu cai dân, tư các cai quan chuyên dân chuyên tài chuyên sát, hựu tư tuyển ích binh, nhất gia chí ngũ,..
六人重收官税一田至两三租該總該社勾勘户婚田土諸訟水路陸路私置巡司巡察衙門	lục nhân, trọng thu quan thuế, nhất điền chí lưỡng tam tô; cai tổng cai xã câu khám hộ hôn điền thổ chư tụng, thuỷ lộ lục lộ tư trí tuần ti tuần sát nha môn.
乞令諭諸将一切停罷	Khất lệnh dụ chư tướng nhất thiết đình bãi.
他如隂有異圖乃人謀不軌恭望裁察	Tha như âm hữu dị đồ, nãi nhân mưu bất quỹ, cung vọng tài sát.
這此等弊乃亦天星示警正恐惧脩省之日	Giá thử đẳng tệ nãi diệc thiên tinh thị cảnh, chính khủng cụ tu tỉnh chi nhật.
宜宣召大臣𭁈諸王子諭以王業󰠡难改革弊政務悅民心庶幾人心悅天意得灾星轉爲景星世治陶爲至治太平做十分祚胤傳億載國家基緒今其自是有永矣	Nghi tuyên triệu đại thần dữ chư vương tử, dụ dĩ Vương nghiệp gian nan, cải cách tệ chính, vụ duyệt dân tâm, thứ cơ nhân tâm duyệt, thiên ý đắc, tai tinh chuyển vi cảnh tinh, thế trị đào vi chí trị, thái bình tố thập phần tộ dận truyền ức tải, quốc gia cơ tự kim kì tự thị hữu vĩnh hĩ.
王留思之	Vương lưu tứ chi".
己未二十年六月以後神宗永明萬曆四十七年	Kỉ Mùi, nhị thập niên, [lục nguyệt dĩ hậu Thần Tông Vĩnh Minh Vạn Lịch tứ thập thất niên].
祚元年春正月十六	Tộ nguyên niên Xuân, chính nguyệt, thập lục..
日未時大火起自王府門後延燒两邉庯坊透入朝堂端門楼及左右直廬皆空尽	nhật, Mùi thì, đại hoả, khởi tự Vương phủ môn, hậu diên thiêu lưỡng biên phố phường, thấu nhập triều đường Đoan Môn lâu, cập tả hữu trực lư giai không tận.
二月會試天下士人	Nhị nguyệt, Hội thí thiên hạ sĩ nhân.
取合格陳有禮等七名	Thủ hợp cách Trần Hữu Lễ đẳng thất danh.
及殿試賜阮瀨進士出身裴球等六名同進士出身	Cập Điện thí, tứ Nguyễn Lại Tiến sĩ xuất thân, Bùi Cầu đẳng lục danh đồng Tiến sĩ xuất thân.
三月平安王往東津楼觀舟	Tam nguyệt, Bình An Vương vãng đông tân lâu quan chu.
回到三岐路忽有伏銃𭛁射王象	Hồi đáo tam kì lộ, hốt hữu phục súng phát xạ Vương tượng.
捉得其人監拷知帝與王子鄭椿隂謀殺王	Tróc đắc kì nhân, giam khảo tri Đế dữ Vương tử Trịnh Xuân âm mưu sát Vương.
夏四月王使太傅清郡公鄭𭫨與内監岳郡公裴仕林入内殿鞫問遂尽得其状	Hạ, tứ nguyệt, Vương sử Thái phó Thanh quận công Trịnh Tráng dữ Nội giám Nhạc quận công Bùi Sĩ Lâm nhập nội điện cúc vấn, toại tận đắc kì trạng.
