大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
二十六日定󰦛禮󰒂課農桑令	Nhị thập lục nhật, định đôn lễ nghĩa, khoá nông tang lệnh.
上諭天下各處承憲府縣州官等禮󰒂所以淑民心農桑所以足衣食二者政之急務牧守枝攸司也	Thượng dụ thiên hạ các xứ Thừa, Hiến, phủ, huyện, châu quan đẳng: lễ nghĩa sở dĩ thục dân tâm, nông tang sở dĩ túc y thực nhị giả chính chi cấp vụ mục thủ chi du tư dã.
朕自御極以來凡化民成俗之方興便除害之政莫不刑諸訓諭責之專行然民財未至羡餘民俗未榛丕变	Trẫm tự ngự cực dĩ lai, phàm hoá dân thành tục chi phương, hưng tiện trừ hại chi chính, mạc bất hình chư huấn dụ trách chi chuyên hành, nhiên dân tài vị chí tiện dư, dân tục vị trăn phỉ biến.
𡸈非尔軰以簿書為急而視敎令為虚文以期會為先而置民風扵度外以致然󰊹	Khởi phi nhĩ bối dĩ bạ thư vi cấp nhi thị giáo lệnh vi hư văn, dĩ kì hội vi tiên nhi trí dân phong ư độ ngoại dĩ trí nhiên dư!.
󰱥今爾軰尽革前弊凡朝廷之勅令一意奉行百姓之飢寒多方經理而府縣州官者每年以時	Kế kim, nhĩ bối tận cách tiền tệ, phàm triều đình chi sắc lệnh, nhất ý phụng hành, bách tính chi cơ, hàn đa phương kinh lí, nhi phủ, huyện, châu, quan giả mỗi niên dĩ thời..
相視原隰勸課農桑	tương thị nguyên thấp, khuyến khoá nông tang.
地有遺利則隨方而興作之人有遺力則隋事而勸将之使民有餘財而無凍餒迯亡之弊	Địa hữu di lợi tắc tuỳ phương nhi hưng tác chi, nhân hữu di lực tắc tuỳ sự nhi khuyến tương chi, sử dân hữu dư tài nhi vô đống nỗi đào vong chi tệ.
或歲時巡行之際所致材巷民居必歷舉前代勑諭之文古今禮樂之訓丁寧曉告俾彼從善改過	Hoặc tuế thời tuần hành chi tế, sở trí tài hạng dân cư, tất lịch cử tiền đại sắc dụ chi văn, cổ kim lễ nhạc chi huấn, đinh ninh hiểu cáo, tỉ bỉ tòng thiện cải quá.
或有傷化敗俗之事必致意戒懲	Hoặc hữu thương hoá bại tục chi sự tất trí ý giới trừng.
忠信孝悌之人必用心嘉奖	Trung tín hiếu đễ chi nhân tất dụng tâm gia tưởng.
民皆㱕厚而革澆薄奸詭之風	Dân giai quy hậu nhi cách kiêu bạc gian nguỵ chi phong.
󰰽䏻遵承見效二司類以名聞定賞	Thục năng tuân thừa kiến hiệu, nhị ti loại dĩ danh văn định thưởng.
倘或尋常職事罷職充軍	Thảng hoặc, tầm thường chức sự bãi chức sung quân.
十二月令各處江官如遇進表日許在衙門行	Thập nhị nguyệt, lệnh các xứ giang quan như ngộ tiến biểu nhật, hứa tại nha môn hành..
禮停就都司	lễ đình tựu đô ti.
以黎端之為兵部尚書黎公讓為禮部尚書郭廷寶為刑部尚書鄧見素為監察御史黎志為南軍都督府左都督平淳伯黎廣志為禮部左侍郎兼翰林院掌院事	Dĩ Lê Đoan Chi vi Binh bộ thượng thư; Lê Công Nhượng vi Lễ bộ thượng thư; Quách Đình BẢo vi hình bộ thượng thư; Đặng Kiến Tố vi Giám sát ngự sử; Lê Chí vi Nam quân đô đốc phủ tả đô đốc Bình Thuần bá Lê Quảng Chí vi Lễ bộ tả thị lang kiêm Hàn lâm viện chưởng viện sự.
是年殺陳封	Thị niên, sát Trần Phong.
帝諭尚書阮如堵等曰陳封少時為厲德侯舊臣	Đế dụ thượng thư Nguyễn Như Đổ đẳng viết Trần Phong thiếu thời vi Lệ Đức hầu cựu thần.
至陳封為仁宗經筵時愛戴厲德甚輕蔑我	Chí TRần Phong vi Nhân Tông kinh diên thời, ái đái Lệ Đức, thậm khinh miệt ngã.
今封為我臣常蓄不臣之心謂我建立明國官號而匿國朝通制不臣之心顯矣	Kim Phong vi ngã thần, thường súc bất thần chi tâm, vị ngã kiến lập Minh quốc quan hiệu nhi nặc quốc triều thông chế, bất thần chi tâm hiển hĩ.
封以反誰束我手不可殺封封國叛臣󰰽為封	Phong dĩ phản, thuỳ thúc ngã thủ bất khả sát Phong? Phong quốc phản thần, thục vi Phong..
螳螂攘臂稱首使吾知之	đường lang nhương tí xưng thủ sử ngô tri chi.
又諭如堵等曰吾見陳封頑薄前後誥諭可也	Hựu dụ Như Đổ đẳng viết: Ngô kiến Trần Phong ngoan bạc tiền hậu cáo dụ khả dã.
如二賜封詩吾過之大也噬臍将可及乎我觀漢之孝景唐之太宗史稱七制三宗亦有晁錯祖尚之悔	NHư nhị tứ phong thi, ngô quá chi đại dã, phệ tề tương khả cập hồ? Ngã quan Hán chi Hiếu Cảnh, Đường chi Thái Tông, sử xưng Thất chế, Tam tông diệc hữu Triều Thác, Tổ Thượng chi hối.
吾不及二君之英安得不多有悔吝乎	Ngô bất cập nhị quân chi anh, an đắc bất đa hữu hối lận hồ!.
丙午十七年明成化二十二年	Bính Ngọ thập thất niên [Minh Thành Hoá nhị thập nhị niên ].
春正月十二日勑旨󰱥今監察御史差幹瘴地如安󰘊興化諒山太原廣南等處即差該道監察御史	Xuân chính nguyệt, thập nhị nhật, sắc chỉ: Kế kim, Giám sát ngự sử sai cán chướng địa như An Bang, Hưng Hoá, Lạng Sơn, Thái Nguyên, Quảng Nam đẳng xứ tức sai cai đạo Giám sát ngự sử.
若該道差已尽員許通該	Nhược cai đạo sai dĩ tận viên hứa thông cai.
併同差期若該道御史通該御史差已	Tính đồng sai kì nhược cai đạo ngự sử, thông cai ngự sử sai dĩ..
盡貟始相輸差别道御史	tận viên thuỷ tương thâu sai biệt đạo ngự sử.
十五日勑旨各衛司儒指揮各貟吏部同本衛官公同閲󰱇内外各衛門見任文職有會試中塲身材頗有壮健銓除各衛門司宿直應務	Thập ngũ nhật, sắc chỉ: Các vệ ti nho chỉ huy các viên, Lại bộ đồng bản vệ quan công đồng duyệt tuyển nội ngoại các vệ môn kiến nhậm văn chức, hữu hội thí trúng trường thân tài pha hữu tráng kiện, thuyên trừ các vệ môn ti túc trực ứng vụ.
十六日差官檢驗軍需物件	Thập lục nhật sai quan kiểm nghiệm quân nhu vật kiện.
二十五日定築立公私田土界碣	Nhị thập ngũ nhật, định trúc lập công tư điền thổ giới kiệt.
其法農隙時府縣官即照如田土簿及奉給田土四至界近拘集老大社村長公同指引官田及世業田土築界碣以為一定求遠之法	Kì pháp: nông khích thời phủ, huyện quan tức chiếu như điền thổ bạ cập phụng cấp điền thổ tứ chí giới cận câu, tập lão đại xã thôn trưởng công đồng chỉ dẫn quan điền cập thế nghiệp điền thổ trúc giới kiệt dĩ vi nhất định cầu viễn chi pháp.
二月初三日定題奉本例署字體式	Nhị nguyệt, sơ tam nhật, định đề phụng bản lệ thự tự thể thức.
二十九日勑㫖󰱥今通政使司接受内外各衙門官貟奏本間有寫字遺漏差謬即檢奏送刑部罸錢如令若軍色民停罸錢	Nhị thập cửu nhật, sắc chỉ: Kế kim, thông chính sứ ti tiếp thụ nội ngoại các nha môn quan viên tấu bản, gian hữu tả tự di lậu sai mậu, tức kiểm tấu tống hình bộ phạt tiền như lệnh, nhược quân sắc dân đình phạt tiền.
三月󰱇強壮充軍	Tam nguyệt tuyển cường tráng sung quân.
十四日頒洪德軍務凡二十七條	Thập tứ nhật, ban Hồng Đức quân vụ, phàm nhị thập thất điều.
按洪德六年三月日頒降一文武官一品二品眾子及三品長子公候伯眾孫不䏻𧥾字充錦衣衛俊士若䏻讀書考中充崇文舘儒生	Án Hồng Đức lục niên, tam nguyệt nhật, ban giáng: nhất văn võ quan nhất phẩm, nhị phẩm chúng tử cập tam phẩm trưởng tử, công, hầu, bá chúng tôn bất năng thức tự sung cẩm y vệ tuấn sĩ, nhược năng độc thư khảo trúng sung Sùng Văn quán nho sinh.
三品眾子及文武從官四六七八品字不能	Tam phẩm chúng tử cập văn võ tòng quan tứ, lục, thất, bát phẩm tự bất năng..
讀書充羽林衛軍䏻讀書考中充秀林局儒生有吏才考中充内外各衛門吏	độc thư sung vũ lâm vệ quân, năng độc thư khảo trúng sung tú lâm cục nho sinh, hữu lại tài khảo trúng sung nội ngoại các vệ môn lại.
九品二子如八品子餘如百姓子	Cửu phẩm nhị tử như bát phẩm tử, dư như bách tính tử.
七品以下孫󰱇充軍如百姓例	Thất phẩm dĩ hạ tôn tuyển sung quân như bách tính lệ.
一親父子兄弟三丁以上同居社籍饒一丁󰱇充若在别縣社不饒	Nhất thân phụ, tử, huynh đệ, tam đinh dĩ thượng đồng cư xã tịch nhiêu nhất đinh tuyển sung; nhược tại biệt huyện xã bất nhiêu.
一傭賃人有文字已有本處承宣司准照便即並饒免充軍	NHất dong nhẫm nhân hữu văn tự dĩ hữu bản xứ Thừa tuyên ti chuẩn chiếu tiện tức tịnh nhiêu miễn sung quân.
夏四月初六日清華等處憲察使司憲察使阮祚奏言係各府縣官不勤押作堤路木捍不得陞級	Hạ tứ nguyệt, sơ lục nhật, Thanh Hoá đẳng xứ hiến sát sứ ti, Hiến sát sứ Nguyễn Tộ tấu ngôn: Hệ các phủ, huyện quan bất cần áp tác đê lộ mộc hãn bất đắc thăng cấp.
拾三日勅㫖各衛勢家奴婢開姓名送	Thập tam nhật, sắc chỉ các vệ thế gia nô tì khai tính danh tống..
奉天府檢刷	Phụng Thiên phủ kiểm soát.
從奉天府少尹阮必勃之言也	Tòng Phụng Thiên phủ Thiếu doãn Nguyễn Tất Bột chi ngôn dã.
二十一日定農隙時興作	Nhị thập nhất nhật, định nông khích thời hưng tác.
建昌府舒池縣知縣陳汝為奏言天下各處田野髙下不同農隙秋夏有異	Kiến Xương phủ Thư Trì huyện Tri huyện Trần Nhữ vi tấu ngôn: Thiên hạ các xứ điền dã cao hạ bất đồng, nông khích thu hạ hữu dị.
秋田則二三月播種夏田則十一十二月耕種是夏田之急於冬尾也	Thu điền tắc nhị tam nguyệt bá chủng, hạ điền tắc thập nhất thập nhị nguyệt canh chủng, thị hạ điền chi cấp ư đông vĩ dã.
今有司倘遇役作不審民田便宜一槩以冬尾為農隙是獨便於秋務之民而夏田之民有妨	Kim hữu ti thảng ngộ dịch tác, bất thẩm dân điền tiện nghi, nhất khái dĩ đông vĩ vi nông khích, thị độc tiện ư thu vụ chi dân nhi hạ điền chi dân hữu phòng.
伏乞󰱥今培築等務二司查勘某處秋田冬尾興公夏田春月起作以為民事便宜	Phục khất kế kim, bồi trúc đẳng vụ nhị ti tra khám, mỗ xứ thu điền đông vĩ hưng công, hạ điền xuân nguyệt khởi tác dĩ vi dân sự tiện nghi.
從之	Tòng chi.
二十四日勑㫖公田每六年從新檢度均給如前	Nhị thập tứ nhật sắc chỉ công điền mỗi lục niên tòng tân kiểm độ quân cấp như tiền.
申明檢察迯亡令	Thân minh kiểm sát đào vong lệnh.
五月初一日禁揀錢	Ngũ nguyệt, sơ nhất nhật, cấm giản tiền.
勑旨泉貨之用貴於上嗄流通府庫之儲貴於長久無獘	Sắc chỉ tuyền hoá chi dụng quý ư thượng hạ lưu thông, phủ khố chi trữ quý ư trường cửu vô tệ.
󰱥今内外各衙門追徵公私賍罸及度文檢秋各項前應八官庫儲積者並宜選取真銅錢𨿽輸郭少鈌係是真同積久無獘者亦宜選取	Kế kim, nội ngoại các nha môn truy trưng công tư tang phạt, cập độ văn kiểm thu các hạng tiền, ứng bát quan khố trữ tích giả, tịnh nghi tuyển thủ chân đồng tiền, tuy thâu quách thiếu khuyết hệ thị chân đồng, tích cửu vô tệ giả, diệc nghi tuyển thủ.
若官吏代俸及百姓賣買使用錢凡真同穿緡猶著者一體收用不得拒斥苛揀	Nhược quan lại đại bổng cập bách tính mại mãi sử dụng tiền, phàm chân đồng xuyên mân do trứ giả nhất thể thu dụng bất đắc cự xích hà giản.
二十二日禁外任官吏娶部内婦女	Nhị thập nhị nhật, cấm ngoại nhậm quan lại thú bộ nội phụ nữ.
二十六日開廣獄房漆補守獄應差	Nhị thập lục nhật khai quảng ngục phòng tất bổ thủ ngục ứng sai.
定朝冠󰱥今文武百官進朝戴烏紗帽两趐宜一體稍仄向前不得任意或平或仄	Định triều quan, kế kim văn võ bách quan tiến triều, đái ô sa mạo lưỡng sí, nghi nhất thể sảo trắc hướng tiền, bất đắc nhiệm ý hoặc bình hoặc trắc.
六月十一日申明越奏告令󰱥今凡公私等事未經州縣府乘憲󰱑等衙門及已經告而勘理未完者並不得越奏越告	Lục nguyệt, thập nhất nhật, thân minh việt tấu cáo lệnh: Kế kim, phàm công tư đẳng sự vị kinh châu, huyện, phủ, thừa, hiến, đài đẳng nha môn cập dĩ kinh cáo nhi khám lí vị hoàn giả tịnh bất đắc việt tấu việt cáo.
十二日禁過回藩鎮籍令如清華乂安順化安󰘊太原宣光諒山等處承宣或清華不得改入乂安諒山不得著	Thập nhị nhật, cấm quá hồi phiên trấn, tịch lệnh như Thanh Hoá, Nghệ An, Thuận Hoá, An Bang, Thái Nguyên, Tuyên Quang, Lạng Sơn đẳng xứ Thừa tuyên hoặc Thanh Hoá, bất đắc cải nhập Nghệ An Lạng Sơn bất đắc trứ..
入太原	nhập Thái Nguyên.
十八日令各府縣社有海岸荒閑田而少田人情願培築開懇納税府縣勘實給撥	Thập bát nhật, lệnh các phủ, huyện, xã hữu hải ngạn hoang nhàn điền nhi thiểu điền nhân tình nguyện bồi trúc khai khẩn nạp thuế phủ huyện khám thực cấp bát.
秋七月初一日海陽道監察御史陶如理奏言應試士人遇上番宜納錢	Thu thất nguyệt sơ nhất nhật, Hải Dương đạo Giám sát ngự sử Đào Như Lí tấu ngôn: Ứng thí sĩ nhân ngộ thượng phiên nghi nạp tiền.
從之	Tòng chi.
初洪德十二年秋以前官貟𨿽未中鄕試亦許入會試至是勑㫖官貟有䏻習科󰁮業願人應試者在京就奉天府在外就所在承宣司入試	Sơ, Hồng Đức thập nhị niên, thu dĩ tiền, quan viên tuy vị trúng hương thí diệc hứa nhập hội thí, chí thị sắc chỉ quan viên hữu năng tập khoa cử nghiệp nguyện nhân ứng thí giả, tại kinh tựu Phụng Thiên phủ, tại ngoại tựu sở tại Thừa tuyên ti nhập thí.
先經府縣覆覈實如百姓鄕試例然後許入會試塲	Tiên kinh phủ huyện phúc hạch thực như bách tính hương thí lệ, nhiên hậu hứa nhập hội thí trường.
從翰林院侍書兼崇文舘秀林局司訓梁	Tòng Hàn Lâm viện thị thư kiêm Sùng Văn quán Tú lâm cục ti huấn Lương..
世榮之奏也	Thế Vinh chi tấu dã.
九月初四日置諒山承宣炎山嶧山峯山弄山巡檢使	Cửu nguyệt sơ tứ nhật trí Lạng Sơn Thừa tuyên Viêm Sơn Dịch Sơn Phong Sơn Lộng Sơn Tuần kiểm sứ.
初六日勑㫖係考試免󰱇及官貟男孫軍勑書筭等項本社社長就禮部端保認靣至日太早開单入保慶門内旨引方許入塲	Sơ lục nhật, sắc chỉ: hệ khảo thí miễn tuyển cập quan viên nam tôn, quân sắc thư toán đẳng hạng bản xã xã trưởng tựu Lễ bộ đoan bảo nhận diện, chí nhật, thái tảo khai đơn nhập Bảo Khánh môn nội chỉ dẫn phương hứa nhập trường.
從禮部左侍郎兼金光門待詔武有之奏也	Tòng Lễ bộ tả thị lang kiêm Kim quang môn đãi chiếu Vũ Hữu Chi tấu dã.
冬十月初三日申明奏章體式	Đông thập nguyệt, sơ tam nhật, thân minh tấu chương thể thức.
初五日禁勢家子孫奴僕等人無故走馬街衢	Sơ ngũ nhật, cấm thế gia tử tôn nô bộc đẳng nhân vô cố tẩu mã nhai cù.
二十六日遣禮部尚書黎䏻讓范福昭郭󱴋等	Nhị thập lục nhật, khiển Lễ bộ thượng thư Lê Năng Nhượng, Phạm Phúc Chiêu, Quách Liễn đẳng..
徃歳貢于明	vãng tuế cống vu Minh.
二十九日禁盗氽珠	Nhị thập cửu nhật, cấm đạo thổn châu.
試官貟男孫属文書筭	Thí quan viên nam tôn thuộc văn, thư, toán.
冬十一月定出入頒行	Đông, thập nhất nguyệt, định xuất nhập ban hành.
文武百官係朝班𢮿定之後或奏事詳見而退或有故事畢而出各宜循班磬折不得横去徑行	Văn võ bách quan hệ triều ban quải định chi hậu, hoặc tấu sự, tường kiến nhi thoái, hoặc hữu cố sự, tất nhi xuất các nghi tuần ban khánh triết, bất đắc hoành khứ kinh hành.
是年以黎端之為户部尚書佐國侯阮如堵爲吏部尚書兼國子監祭酒黎永為北軍都督府左都督棠溪侯阮舘為中軍都督府右都督荗敬子黎旋為駙馬都尉紫嚴伯阮滋至為海陽	Thị niên, dĩ Lê Đoan Chi vi Hộ bộ thượng thư Tá Quốc hầu; Nguyễn Như Đổ vi Lại bộ thượng thư kiêm Quốc tử giám tế tửu; Lê Vĩnh vi Bắc quân đô đốc phủ tả đô đốc Đường Khê hầu; Nguyễn Quán vi Trung quân đô đốc phủ hữu đô đốc Mậu Kính tử; Lê Tuyền vi Phò mã đô uý Tử Nghiêm bá; Nguyễn Tư Chí vi Hải Dương..
等處清刑憲察使司憲察使	đẳng xứ thanh hình hiến sát sứ ti hiến sát sứ.
丁未十八年明成化二十三年	Đinh Mùi thập bát niên [Minh Thành Hoá nhị thập tam niên ].
春二月禁僭越稱呼	Xuân, nhị nguyệt, cấm tiếm việt xưng hô.
三月會試天下	Tam nguyệt, hội thí thiên hạ.
士人取范珍等六十人	Sĩ nhân thủ Phạm Trân đẳng lục thập nhân.
夏四月初七日上親臨策問以治道	Hạ, tứ nguyệt, sơ thất nhật, thượng thân lâm sách vấn dĩ trị đạo.
覧卷畢又宣召優等進士入日光門親賜監别	Lãm quyển tất, hựu tuyên triệu ưu đẳng tiến sĩ nhập Nhật Quang môn, thân tứ giám biệt.
以陳崇頴為第一阮德问申景雲㳄之並賜進士及第武耿第三十名進士出身范珍等二十七名同進士出身	Dĩ Trần Sùng dĩnh vi đệ nhất, Nguyễn Đức Vấn, Thân Cảnh Vân, thứ chi; tịnh tứ tiến sĩ cập đệ Vũ Cảnh đệ tam thập danh tiến sĩ xuất thân; Phạm Trân đẳng nhị thập thất danh đồng tiến sĩ xuất thân.
二十八日申明名呼令如親王卑下者稱呼曰殿下嗣親王曰府下公侯伯駙馬一品	Nhị thập bát nhật, thân minh danh hô lệnh: Như thân vương ti hạ giả xưng hô viết: điện hạ, tự thân vương viết: phủ hạ, công, hầu, bá, phò mã, nhất phẩm..
稱呼曰閣下二品三品曰門下四五六品曰大人七八九品曰官長之類	xưng hô viết: các hạ; nhị phẩm, tam phẩm viết: môn hạ; tứ, ngũ, lục phẩm viết: đại nhân; thất, bát, cửu phẩm viết: quan trưởng chi loại.
敢有如前僭越呼者受者苔五十罸錢十貫	Cảm hữu như tiền tiếm việt hô giả, thụ giả đài ngũ thập, phạt tiền thập quán.
定保󰱇總兵官上曰總兵之官一方重寄不可委任非人科󰱑等官宜保󰱇各衙門衛官瞻畧學戠資望材幹廉勤者銓除敢有徇私妄保猥劣貪懦者治罪	Định bảo tuyển tổng binh quan thượng viết: Tổng binh chi quan, nhất phương trọng, ký bất khả uỷ nhiệm phi nhân khoa đài đẳng quan, nghi bảo tuyển các nha môn vệ quan chiêm lược học thức tư vọng, tài cán liêm cần giả, thuyên trừ cảm hữu tuẫn tư vọng bảo ổi liệt tham nhu giả trị tội.
五月四日上御敬天殿臚傅唱進士陳崇頴等名百官朝服稱賀	Ngũ nguyệt, tứ nhật, thượng ngự KÍnh Thiên điện lô phó xướng tiến sĩ Trần Sùng Dĩnh đẳng danh, bách quan triều phục xưng hạ.
禮部捧黄榜捐于東華門外	Lễ bộ bổng hoàng bảng quyên vu Đông Hoa môn ngoại..
六月二十六日勑南軍都督府左都督涇陽侯黎權同五府六部御史臺六寺等衙門南軍都督府平淳伯黎志等𢮪用明令一百四十五條	Lục nguyệt, nhị thập lục nhật, sắc Nam quân đô đốc phủ tả đô đốc Kinh Dương hầu Lê Quyền, đồng Ngũ phủ, Lục bộ, Ngự sử đài, Lục tự đẳng nha môn Nam quân đô đốc phủ Bình Thuần bá Lê Chí đẳng soạn dụng Minh lệnh nhất bách tứ thập ngũ điều.
一内外衙門各貟󰱥今如有相賀相送障子宜用終紙不得裱褶	Nhất nội ngoại nha môn các viên, kế kim như hữu tương hạ tương tống chướng tử nghi dụng chung chỉ, bất đắc biểu triệp.
秋七月初九日勑㫖官貟非犯罪左遷者許满考遷陞一如各處官貟例	Thu, thất nguyệt, sơ cửu nhật, sắc chỉ: quan viên phi phạm tội tả thiên giả hứa mãn khảo thiên thăng nhất như các xứ quan viên lệ.
若考課稱職止陞本處承司不得轉調近地	Nhược khảo khoá xưng chức chỉ thăng bản xứ Thừa ti, bất đắc chuyển điều cận địa.
有貪冗者如前令罷聀充廣南軍	Hữu tham nhũng giả như tiền lệnh bãi chức sung Quảng Nam quân.
八月十五日立洪德十八年丁未科進士題名碑	Bát nguyệt, thập ngũ nhật, lập Hồng Đức thập bát niên Đinh Mùi khoa tiến sĩ đề danh bi.
十八日禁内外官貟無故不得到錦衣効力神武殿前等衛司直廬	Thập bát nhật, cấm nội ngoại quan viên vô cố bất đắc đáo Cẩm y, Hiệu lực Thần vũ, Điện tiền đẳng vệ ti trực lư.
二十二日明憲宗崩	Nhị thập nhị nhật, Minh Hiến Tông băng.
九月初六日明皇太子祐榶即位改明年為弘治元年是為孝宗	Cửu nguyệt, sơ lục nhật, Minh hoàng thái tử Hựu Đường tức vị, cải minh niên vi hoằng Trị nguyên niên, thị vi Hiếu Tông.
冬十一月大赦凣五十四條	Đông, thập nhất nguyệt, đại xá, phàm ngũ thập tứ điều.
定朝臣𬢱事次序	Định triều thần nghị sự thứ tự.
詔朝堂𬢱事有中官轉奉聖㫖問則先六科御史󰱑為一次六部六寺為一	Chiếu: triều đường nghị sự, hữu trung quan chuyển phụng thánh chỉ vấn tắc tiên Lục khoa, Ngự sử đài vi nhất; thứ Lục Bộ, Lục tự vi nhất..
次公侯伯五府都督爲一次隨項議論務要詳明不得模棱雷同緘然躲避	thứ; công, hầu, bá Ngũ phủ đô đốc vi nhất thứ, tuỳ hạng nghị luận, vụ yếu tường minh, bất đắc mạc lăng, lôi đồng giam nhiên, đoá tị.
違者紏儀監察御史紏󰁮送問	Vi giả, Củ nghi giám sát ngự sử củ cử tống vấn.
若當日紏儀不預議論	Nhược đương nhật Củ nghi bất dự nghị luận.
戊申十九年明孝宗弘治元年	Mậu Thân thập cửu niên [Minh Hiếu Tông Hoằng Trị nguyên niên ].
春正月扈從籃京賞一資	Xuân chính nguyệt, hộ tòng Lam Kinh thưởng nhất tư.
閏正月初三日陶󰁮陞翰林院侍讀東閣𭓇士脩慎少尹	Nhuận, chính nguyệt, sơ tam nhật, Đào Cử thăng Hàn lâm viện thị độc Đông các học sĩ Tu Thận thiếu doãn.
以陶󰁮任内繁衙門满三考稱職無犯法故陞之	Dĩ Đào Cử nhiệm nội phồn nha môn, mãn tam khảo xứng chức, vô phạm pháp, cố thăng chi.
夏五月初九日詔󰱥今各衙門官貟有得病奏乞療治則曰治病或療治不得如前暫用養字	Hạ, ngũ nguyệt, sơ cửu nhật, chiếu: Kế kim, các nha môn quan viên hữu đắc bệnh tấu khất liệu trị tắc viết trị bệnh hoặc liệu trị, bất đắc như tiền tạm dụng dưỡng tự.
從東閣大學士申仁中之奏也	Tòng Đông các đại học sĩ Thân Nhân Trung chi tấu dã.
十五日戊寅壬子時第二黄孫濬生後為威穆帝也	Thập ngũ nhật Mậu Dần Nhâm Tí thời đệ nhị hoàng tôn Tuấn sinh [Hậu vi Uy Mục đế dã].
十九日定陪拜禮節詔文武百官凡有事陪拜禮󰍶侍班如󰀩得令則趍出不可徐行翔揚亦不可疾走攙趍	Thập cửu nhật, định bồi bái lễ tiết, chiếu văn võ bách quan, phàm hữu sự bồi bái, lễ tất thị ban như nghi, đắc lệnh tắc xu xuất, bất khả từ hành, tường dương, diệc bất khả tật tẩu sàm xu.
大旱	Đại hạn.
秋七月二十五日詔内外各衙門勘理諸訟係有把名証借勾來查問即勘官詳問明白	Thu, thất nguyệt, nhị thập ngũ nhật, chiếu nội ngoại các nha môn khám lí chư tụng, hệ hữu bả danh chứng tá câu lai tra vấn tức khám quan tường vấn minh bạch.
小訟期五箇日大訟期十箇日以紙取供言完畢不得淹滯逾期	Tiểu tụng kì ngũ cá nhật, đại tụng kì thập cá nhật, dĩ chỉ thủ cung ngôn hoàn, tất bất đắc yêm đái du kì.
八月壬辰朔第三皇孫㵮生後為肅宗㵮音純假名󰥙亦音	Bát nguyệt, Nhâm Thìn, sóc, đệ tam hoàng tôn Thuần sinh [Hậu vi Túc Tông, Thuần âm Thuần, giả danh Thuần diệc âm ].
十六日定接明國使衣服	Thập lục nhật, định tiếp Minh quốc sứ y phục.
公侯伯駙馬文武百官預制青色紵絲紗羅領依長去地一寸袖寬一尺二寸若議官用製衣長去地九寸袖小依舊樣	Công, hầu, bá, phò mã, văn võ bách quan dự chế thanh sắc trữ ti sa la lĩnh y trường khứ địa nhất thốn, tụ khoan nhất xích nhị thốn, nhược nghị quan dụng chế y, trường khứ địa cửu thốn, tụ tiểu y cựu dạng.
並用補子穿靴務要觧明不得用舊醜候接明國使	Tịnh dụng bổ tử xuyên ngoa vụ yếu giải minh, bất đắc dụng cựu sửu, hầu tiếp Minh quốc sứ.
汰内外各衙門吏老劣不勤致職還民差賦	Thải nội ngoại các nha môn lại lão liệt, bất cần trí chức, hoàn dân sai phú.
九月詔自今府縣州官𭔎置社長係兄弟叔伯之子並親伯姪舅甥止許一人為社長不得並	Cửu nguyệt, chiếu tự kim, phủ, huyện, châu, quan tất trí xã trưởng, hệ huynh đệ thúc bá chi tử, tịnh thân bá điệt cữu sanh, chỉ hứa nhất nhân vi xã trưởng, bất đắc tịnh..
置以草黨比雷同之弊	trí dĩ thảo đảng tỉ lôi đồng chi tệ.
冬十月初三日命禮部諭廣南參政范播宗曰廣南承政司軍民生男十五歳以上俊秀好學至鄕試日其本處承憲二司公同󰱇取具本充本府生徒使之教誨迤知禮義	Đông, thập nguyệt, sơ tam nhật, mệnh Lễ bộ dụ Quảng Nam tham chính Phạm Bá Tông viết: Quảng Nam thừa chính ti quân dân sinh nam thập ngũ tuế dĩ thượng, tuấn tú hiếu học, chí hương thí nhật kì, bản xứ Thừa, Hiến nhị ti công đồng tuyển thủ cụ bản sung bản phủ sinh đồ sử chi giáo hối dĩ tri lễ nghĩa.
九日定進朝儀新樣衣服	Cửu nhật, định tiến triều nghi tân dạng y phục.
其製衣長去地二寸袖寬一尺三寸	Kì chế y trường khứ địa nhị thốn, tụ khoan nhất xích tam thốn.
二十日詔自今凣士人已曾讀書䏻属文有學檢試中免󰱇者饒賦差半分以廣朝廷養育人才之意	Nhị thập nhật, chiếu: Tự kim, phàm sĩ nhân dĩ tằng độc thư, năng thuộc văn, hữu học kiểm, thí trúng miễn tuyển giả nhiêu phú sai bán phần dĩ quảng triều đình dưỡng dục nhân tài chi ý.
十一月二十日明遣正使翰林院侍講刘戬副使刑科給事中吕献來告即位并賜綵弊	Thập nhất nguyệt, nhị thập nhật, Minh khiển chánh sứ Hàn lâm viện thị giảng Lưu Tiển, phó sứ Hình khoa cấp sự trung Lã Hiến lai cáo tức vị, tịnh tứ thái tệ.
二十三日行開讀明國詔書於敬天殿	Nhị thập tam nhật, hành khai độc Minh quốc chiếu thư ư Kính Thiên điện.
置雷䦕縲䦕閬䦕巡檢使	Trí Lôi Quan, Luy Quan, Lãng Quan, tuần kiểm sứ.
十二月十一日遣使如明	Thập nhị nguyệt, thập nhất nhật, khiển sứ như Minh.
覃文禮王克述范勉麟賀即位	Đàm Văn Lễ, Vương KHắc Thuật, Phạm Miễn Lân, hạ tức vị.
