大越史記續編序	Đại Việt sử kí tục biên tự.
武功懾乎蠶叢文教振乎象郡以詩書而化訓國俗以仁義而固結人心教民耕種國富兵強至於遣使一節詞極謙遜南北交歡天下無事享國百有餘年真英雄才畧之主也	Vũ công nhiếp hồ Tàm Tùng, văn giáo chấn hồ Tượng Quận; dĩ thi thư nhi hoá huấn quốc tục, dĩ nhân nghĩa nhi cố kết nhân tâm, giáo dân canh chủng, quốc phú binh cường, chí ư khiển sứ nhất tiết, từ cực khiêm tốn, Nam Bắc giao hoan, thiên hạ vô sự, hưởng quốc bách hữu dư niên, chân anh hùng tài lược chi chủ dã.
文王以武帝之嫡孫纘承𦾔業凡其制度典章一遵先王成憲感鄰以義却敵	Văn Vương dĩ Vũ Đế chi đích tôn, toản thừa cựu nghiệp, phàm kì chế độ điển chương, nhất tuân tiên vương thành hiến, cảm lân dĩ nghĩa, khước địch ...
安邊	an biên.
亦繼體守成之君也	diệc kế thể thủ thành chi quân dã.
明王嗣德之初安於縱弛	Minh Vương tự đức chi sơ, an ư túng thỉ.
樛后得寵越姬見󰲝國中不睦紀綱大亂	Cù Hậu đắc sủng, Việt cơ kiến phế, quốc trung bất mục, kỉ cương đại loạn.
哀王以童稚之年昧經國之理母后驕滛權臣執政而趙家基業卒至陵夷	Ai Vương dĩ đồng trĩ chi niên, muội kinh quốc chi lí, mẫu hậu kiêu dâm, quyền thần chấp chính, nhi Triệu gia cơ nghiệp, tốt chí lăng di.
術陽王以哀王之兄建立於權臣之守智力短淺強虜來侵而趙氏基圖從茲蕧没	Thuật Dương Vương dĩ Ai Vương chi huynh, kiến lập ư quyền thần chi thủ, trí lực đoản thiển, cường lỗ lai xâm, nhi Triệu thị cơ đồ, tòng tư phúc một.
迹其哀王之禍雖出於吕嘉而實由明王寵嬖樛后以啟之也	Tích kì Ai Vương chi hoạ, tuy xuất ư Lữ Gia, nhi thực do Minh Vương sủng bế Cù Hậu dĩ khải chi dã.
女色之傾人國家如此深可為戒	Nữ sắc chi khuynh nhân quốc gia như thử, thâm khả vi giới.
逮夫徵王胃出雄王之後姊妹俱以勇畧聞念蘇定苛政紏率諸部奮󰁮	Đãi phù Trưng Vương, vị xuất Hùng Vương chi hậu, tỉ muội câu dĩ dũng lược văn, niệm Tô Định hà chính, củ suất chư bộ, phấn cử ...
雄師大振威名郡縣響應故䏻畧定嶺外六十五成盡復南越故境亦女中之豪傑也	hùng sư, đại chấn uy danh, quận huyện hưởng ứng, cố năng lược định lĩnh ngoại lục thập ngũ thành, tận phục Nam Việt cố cảnh, diệc nữ trung chi hào kiệt dã.
然天不祚貉漢兵來侵向使當時有英雄才畧之主則漢𡸈敢窺於梅嶺㢤士王習魯國之風流學問博洽謙虚下士化國俗以詩書淑人心以禮樂治國踰四十年境内無事	Nhiên thiên bất tộ Lạc, Hán binh lai xâm, hướng sử đương thời hữu anh hùng tài lược chi chủ, tắc Hán khởi cảm khuy ư Mai Lĩnh tai? Sĩ Vương tập Lỗ quốc chi phong lưu, học vấn bác hiệp, khiêm hư hạ sĩ, hoá quốc tục dĩ thi thư, thục nhân tâm dĩ lễ nhạc, trị quốc du tứ thập niên, cảnh nội vô sự.
然而子徽輕信士匡之言不設兵僃遂為吕岱所害	Nhiên nhi tử Huy, khinh tín Sĩ Khuông chi ngôn, bất thiết binh bị, toại vi Lữ Đại sở hại.
趙嫗以九真之女聚徒山中攻破城邑諸部景從易於反掌	Triệu Ẩu dĩ Cửu Chân chi nữ, tụ đồ sơn trung, công phá thành ấp, chư bộ cảnh tòng, dị ư phản chưởng.
雖未㨿嶺表如徵王故事亦女中之雄才也	Tuy vị cứ Lĩnh Biểu như Trưng Vương cố sự, diệc nữ trung chi hùng tài dã.
前南	Tiền Nam ...
帝有聰明之至性僃文武之奇才北逐蕭諮南平林邑建國號正尊稱置百官紀年號有帝王䂓畫之大畧	Đế hữu thông minh chi chí tính, bị văn vũ chi kì tài, bắc trục Tiêu Tư, Nam bình Lâm Ấp, kiến quốc hiệu, chính tôn xưng, trí bách quan, kỉ niên hiệu, hữu đế vương quy hoạch chi đại lược.
奈何澈湖之師已潰覇先之寇方張白牛之書盖有天數也	Nại hà Triệt Hồ chi sư dĩ hội, Bá Tiên chi khấu phương trương, bạch ngưu chi thư, cái hữu thiên số dã.
桃郎王以南帝之兄收餘烬之卒一戦而敗退保野䏻盖其威力不足也	Đào Lang Vương dĩ Nam Đế chi huynh, thu dư tẫn chi tốt, nhất chiến nhi bại, thoái bảo Dã Năng, cái kì uy lực bất túc dã.
趙越王接前南帝之統保有朱鳶之地初與桃郎乘時而稱王卒與後李分國而共治	Triệu Việt Vương tiếp Tiền Nam Đế chi thống, bảo hữu Chu Diên chi địa, sơ dữ Đào Lang thừa thời nhi xưng vương, tốt dữ Hậu Lí phân quốc nhi cộng trị.
幸得龍爪之瑞大破全梁之兵	Hạnh đắc long trảo chi thuỵ, đại phá Toàn Lương chi binh.
奈何螺城之築未乾鴉海之師隨溺鵝毛之禍是誰𠧨也後南帝	Nại hà Loa Thành chi trúc vị càn, Nha hải chi sư tuỳ nịch, nga mao chi hoạ, thị thuỳ cữu dã? Hậu Nam Đế ...
業承二兄治踰四紀	nghiệp thừa nhị huynh, trị du tứ kỉ.
然背義而滅趙望風而降隋遂成北狩之辱由其自取也	Nhiên bội nghĩa nhi diệt Triệu, vọng phong nhi hàng Tuỳ, toại thành Bắc thú chi nhục, do kì tự thủ dã.
嗚呼天命靡常人心難信	Ô hô! Thiên mệnh mị thường, nhân tâm nan tín.
前乎安陽王恃有龜爪之瑞怠心一形而國隨以滅後乎趙𧻗王恃有龍爪之祥驕心一生而國隨以亡	Tiền hồ An Dương Vương thị hữu quy trảo chi thuỵ, đãi tâm nhất hình nhi quốc tuỳ dĩ diệt; hậu hồ Triệu Việt Vương thị hữu long trảo chi tường, kiêu tâm nhất sinh nhi quốc tuỳ dĩ vong.
祥瑞之事果何益㢤趙武帝使仲始托婚於安陽王之女乃窃其龜爪以伐安陽王而取其國則趙武帝之計險矣而趙氏尋滅於漢後南帝使雅郎托娶於趙𧻗王之女乃窃其龍爪以伐趙𧻗王而移其祚則後南	Tường thuỵ chi sự quả hà ích tai? Triệu Vũ Đế sử Trọng Thuỷ thác hôn ư An Dương Vương chi nữ, nãi thiết kì quy trảo dĩ phạt An Dương Vương nhi thủ kì quốc, tắc Triệu Vũ Đế chi kế hiểm hĩ, nhi Triệu thị tầm diệt ư Hán; Hậu Nam Đế sử Nhã Lang thác thú ư Triệu Việt Vương chi nữ, nãi thiết kì long trảo dĩ phạt Triệu Việt Vương nhi di kì tộ, tắc Hậu Nam ...
帝之術深矣而李氏卒陷於隋	Đế chi thuật thâm hĩ, nhi Lí thị tốt hãm ư Tuỳ.
噫滅人之國人亦滅其國天道昭昭足為明戒	Y! diệt nhân chi quốc, nhân diệc diệt kì quốc, thiên đạo chiêu chiêu túc vi minh giới.
梅黒帝起自驩州忿楚客之虐政󰁮兵攻之南㨿海嶺北距李唐可謂豪傑之主也	Mai Hắc Đế khởi tự Hoan Châu, phẫn Sở Khách chi ngược chính, cử binh công chi, Nam cứ Hải Lĩnh, Bắc cự Lí Đường, khả vị hào kiệt chi chủ dã.
惜其禦㓂非才人心寡助而不䏻遏楊思朂之乱也	Tích kì ngự khấu phi tài, nhân tâm quả trợ, nhi bất năng át Dương Tư Húc chi loạn dã.
馮布盖以唐林之英豪惡正平之苛虐兄弟乘時屈起拯民󰰻乱布德立功可謂仁厚之主也	Phùng Bố Cái dĩ Đường Lâm chi anh hào, ố Chính Bình chi hà ngược, huynh đệ thừa thời khuất khởi, chửng dân bát loạn, bố đức lập công, khả vị nhân hậu chi chủ dã.
惜其子安不䏻嗣守見立於破𣂷迎降於趙昌雖有杜英翰謀國之臣亦無救乎馮氏之亡也	Tích kì tử An bất năng tự thủ, kiến lập ư Phá Cần, nghênh hàng ư Triệu Xương, tuy hữu Đỗ Anh Hàn mưu quốc chi thần, diệc vô cứu hồ Phùng thị chi vong dã.
曲先主世爲巨族䧺	Khúc Tiên Chủ thế vi cự tộc, hùng ...
睿智畧因唐之亡群心爱戴共推為主都于羅城民安國治功德永垂享年弗久	duệ trí lược, nhân Đường chi vong, quần tâm ái đái, cộng suy vi chủ, đô vu La Thành, dân an quốc trị, công đức vĩnh thuỳ, hưởng niên phất cửu.
曲中主克承先業綽有祖風運籌决勝出人意表𭁈北朝諸國而抗衡為我𧻗之令主定府籍𬋩甲之職制度稍立中道崩殂	Khúc Trung chủ khắc thừa tiên nghiệp, xước hữu tổ phong, vận trù quyết thắng, xuất nhân ý biểu, dữ Bắc triều chư quốc nhi kháng hành, vi ngã Việt chi lệnh chủ, định phủ tịch quản giáp chi chức, chế độ sảo lập, trung đạo băng tồ.
至於後主瀆於干戈賦繁役重百姓怨嗟尋為南漢所滅	Chí ư Hậu Chủ, độc ư can qua, phú phồn dịch trọng, bách tính oán ta, tầm vi Nam Hán sở diệt.
楊正公念我𧻗土宇久為南漢所併收用豪傑大興󰒂旅两敗賊将尽復轝圖	Dương Chính Công niệm ngã Việt thổ vũ cửu vi Nam Hán sở tính, thu dụng hào kiệt, đại hưng nghĩa lữ, lưỡng bại tặc tướng, tận phục dư đồ.
然僃患無謀更為󰒂兒所弑	Nhiên bị hoạn vô mưu, cánh vi nghĩa nhi sở thích.
吳先主誅公羡之賊臣破弘操之勍敵置文武百官	Ngô Tiên Chủ tru Công Tiễn chi tặc thần, phá Hoằng Thao chi kình địch, trí văn vũ bách quan ...
之階定律令衣服之制真𦙟世之奇才也	chi giai, định luật lệnh y phục chi chế, chân tế thế chi kì tài dã.
然顧托非人禍及後嗣	Nhiên cố thác phi nhân, hoạ cập hậu tự.
楊三哥以外戚之親受托孤之寄然廢主自立難迯簒弑之誅	Dương Tam Kha dĩ ngoại thích chi thân, thụ thác cô chi kí, nhiên phế chủ tự lập, nan đào soán thích chi tru.
吳後主克復祖宗之業保安境内之民足爲承平之主	Ngô Hậu Chủ khắc phục tổ tông chi nghiệp, bảo an cảnh nội chi dân, túc vi thừa bình chi chủ.
然政尚姑息黷於武功禍及其身	Nhiên chính thượng cô tức, độc ư vũ công, hoạ cập kì thân.
天策王以主之嫡嗣始爲奸臣所簒而不䏻正其罪終以南晋所逼而不䏻讓其功𢫔作威福之權竟失友于之義	Thiên Sách Vương dĩ Tiên Chủ chi đích tự, thuỷ vi gian thần sở soán nhi bất năng chính kì tội, chung dĩ Nam Tấn sở bức nhi bất năng nhượng kì công, thiện tác uy phúc chi quyền, cạnh thất hữu vu chi nghĩa.
皆庸才之主也	Giai dung tài chi chủ dã.
嗟夫自有天地即有綱常父為子綱君為臣綱萬古截然而不可紊	Ta phù! Tự hữu thiên địa, tức hữu cương thường, phụ vi tử cương, quân vi thần cương, vạn cổ tiệt nhiên nhi bất khả vặn.
彼矯	Bỉ Kiều ...
公羡乃楊正公之󰒂兒忘其豢養之恩率其黨而殺正公是以子而殺其父竟為先主所誅	Công Tiễn nãi Dương Chính Công chi nghĩa nhi, vong kì hoạn dưỡng chi ân, suất kì đảng nhi sát Chính Công, thị dĩ tử nhi sát kì phụ, cạnh vi Tiên Chủ sở tru.
三哥乃吳昌岌之舊臣背其顧托之言逐其君而自立是以臣而叛其君又為後主所戮	Tam Kha nãi Ngô Xương Ngập chi cựu thần, bội kì cố thác chi ngôn, trục kì quân nhi tự lập, thị dĩ thần nhi phản kì quân, hựu vi Hậu Chủ sở lục.
乱賊之軰生前則不容天地之間没後則難迯春秋之法	Loạn tặc chi bối, sinh tiền tắc bất dung thiên địa chi gian, một hậu tắc nan đào Xuân Thu chi pháp.
故史臣筆之通鑑深致意於其間焉	Cố sử thần bút chi Thông Giám, thâm trí ý ư kì gian yên.
吳氏既亡十二使君乘時蜂起吳日慶㨿唐林李朗公㨿超類矯順㨿洄湖吳南帝㨿夜澤阮超㨿扶烈范防遏㨿藤州陳明公㨿長州吳昌熾㨿平	Ngô thị kí vong, Thập nhị sứ quân thừa thời phong khởi: Ngô Nhật Khánh cứ Đường Lâm, Lí Lãng Công cứ Siêu Loại, Kiểu Thuận cứ Hồi Hồ, Ngô Nam Đế cứ Dạ Trạch, Nguyễn Siêu cứ Phù Liệt, Phạm Phòng Át cứ Đằng Châu, Trần Minh Công cứ Trường Châu, Ngô Xương Xí cứ Bình ...
橋矯公罕㨿峯州阮太平㨿三帶杜景碩㨿杜洞阮守捷㨿仙逰	Kiều, Kiều Công Hãn cứ Phong Châu, Nguyễn Thái Bình cứ Tam Đới, Đỗ Cảnh Thạc cứ Đỗ Động, Nguyễn Thủ Tiệp cứ Tiên Du.
各守封域莫䏻相攝	Các thủ phong vực, mạc năng tương nhiếp.
世道至此風俗澆漓甚矣	Thế đạo chí thử, phong tục kiêu li thậm hĩ.
何則十二使君皆吳王之舊臣當後主親征唐阮為毒矢所中而殂爲臣下者固宜復讎致討而雪後主之耻可也亦當圖立嗣君以繼先主之統可也	Hà tắc? Thập nhị sứ quân giai Ngô Vương chi cựu thần, đương Hậu chủ thân chinh Đường Nguyễn vi độc thỉ sở trúng nhi tồ, vi thần hạ giả, cố nghi phục thù trí thảo nhi tuyết Hậu chủ chi sỉ, khả dã; diệc đương đồ lập tự quân dĩ kế Tiên chủ chi thống, khả dã.
胡乃君既遇害臣皆恝心各相雄長僣僞紛紜非惟得罪於當時抑亦貽譏於後世	Hồ nãi quân kí ngộ hại, thần giai kiết tâm, các tương hùng trường tiếm nguỵ phân vân, phi duy đắc tội ư đương thời, ức diệc di cơ ư hậu thế.
卒為丁先皇所定固其宜也	Tốt vi Đinh Tiên Hoàng sở định, cố kì nghi dã.
故史臣於十二使君以前著爲外紀以别内外	Cố sử thần ư Thập nhị sứ quân dĩ tiền, trước vi ngoại kỉ dĩ biệt nội ngoại ...
之分自丁先皇以後著爲正統以明君臣之分	chi phân, tự Đinh Tiên Hoàng dĩ hậu, trước vi chính thống dĩ minh quân thần chi phận.
世道升降之幾於此可以見矣	Thế đạo thăng giáng chi cơ, ư thử khả dĩ kiến hĩ.
丁先皇因吳國之䘮乱平十二使君天𭁈人㱕轝圖混一任丁佃阮匐刘基鄭琇之儔為之輔佐剏制朝󰀩定立軍旅我𧻗正統之君實自此始	Đinh Tiên Hoàng nhân Ngô quốc chi táng loạn, bình Thập nhị sứ quân, thiên dữ nhân quy, dư đồ hỗn nhất, nhiệm Đinh Điền, Nguyễn Bặc, Lưu Cơ, Trịnh Tú chi trù vi chi phụ tá, sáng chế triều nghi, định lập quân lữ, ngã Việt chính thống chi quân thực tự thử thuỷ.
論其平戎破敵功則偉矣然宗庙未立𭓇校未建設鼎養虎以爲刑獄之具遺犀納象徒爲貢献之勞禮樂刑政之不脩重門擊柝之不謹卒使身弑國危禍及其子是防微杜漸之無謀也	Luận kì bình nhung phá địch công tắc vĩ hĩ; nhiên tông miếu vị lập, học hiệu vị kiến, thiết đỉnh dưỡng hổ dĩ vi hình ngục chi cụ; di tê nộp tượng, đồ vi cống hiến chi lao; lễ nhạc hình chính chi bất tu, trùng môn kích thác chi bất cẩn; tốt sử thân thí quốc nguy, hoạ cập kì tử, thị phòng vi đỗ tiệm chi vô mưu dã.
少帝以幼虫	Thiếu đế dĩ ấu trùng ...
之年嗣艱大之業國家多難社稷傾危加以占㓂擾其南宋師侵其北權臣攝政國内離心丁氏訖籙是保󰘊制治之無策也	chi niên, tự gian đại chi nghiệp, quốc gia đa nạn, xã tắc khuynh nguy, gia dĩ Chiêm khấu nhiễu kì nam, Tống sư xâm kì bắc, quyền thần nhiếp chính, quốc nội li tâm, Đinh thị ngật lục, thị bảo bang chế trị chi vô sách dã.
盖丁氏之興雖出於天数及其衰也由三綱之不正焉	Cái Đinh thị chi hưng, tuy xuất ư thiên số, cập kì suy dã, do tam cương chi bất chính yên.
先皇廢嫡立少而父子之恩暌五后並立而夫婦之倫紊𫳭任杜釋以成簒弑之禍而君臣之道䘮	Tiên Hoàng phế đích lập thiếu, nhi phụ tử chi ân khuê; ngũ hậu tịnh lập, nhi phu phụ chi luân vặn; sủng nhiệm Đỗ Thích dĩ thành soán thí chi hoạ, nhi quân thần chi đạo táng.
是則丁氏之興由於先皇丁氏之亡亦由於先皇非天命之不佑盖人謀之弗臧也	Thị tắc Đinh thị chi hưng do ư Tiên Hoàng, Đinh thị chi vong diệc do ư Tiên Hoàng, phi thiên mệnh chi bất hựu, cái nhân mưu chi phất tang dã.
黎大行擁十道之權行居攝之事主少國危乘時受命誅占	Lê Đại Hành ủng thập đạo chi quyền, hành cư nhiếp chi sự, chủ thiếu quốc nguy, thừa thời thụ mệnh, tru Chiêm ...
城主以雪執使之耻摧趙宋師以挫必勝之謀	Thành chủ dĩ tuyết chấp sứ chi sỉ, thôi Triệu Tống sư dĩ toả tất thắng chi mưu.
用洪献巨俩徐穆子安之流為之左右	Dụng Hồng Hiến, Cự Lạng, Từ Mục, Tử An chi lưu vi chi tả hữu.
耕籍田於龍隊徵處士於象山󰱇用賢良創立𭓇校有帝王之大畧	Canh tịch điền ư Long Đội, trưng xử sĩ ư Tượng Sơn, tuyển dụng hiền lương, sáng lập học hiệu, hữu đế vương chi đại lược.
然土木繁興以金玉而飭其宫室干戈屡起以草芥而視其人民雖欲不衰其可得乎中宗奉大行之遺詔入承國統赦母弟簒弑之罪而政失於柔懦	Nhiên thổ mộc phồn hưng, dĩ kim ngọc nhi sức kì cung thất, can qua lũ khởi, dĩ thảo giới nhi thị kì nhân dân, tuy dục bất suy, kì khả đắc hồ? Trung Tông phụng Đại Hành chi di chiếu, nhập thừa quốc thống, xá mẫu đệ soán thí chi tội, nhi chính thất ư nhu noạ.
卧朝不君弑兄虐眾以火焦刀鋸而爲刑以木杪水牢而為獄溺乱女色伐性傷生雖欲不亡其可得乎盖大行之興	Ngoạ Triều bất quân, thí huynh ngược chúng, dĩ hoả tiêu đao cứ nhi vi hình, dĩ mộc diểu thuỷ lao nhi vi ngục, nịch loạn nữ sắc, phạt tính thương sinh, tuy dục bất vong, kì khả đắc hồ? Cái Đại Hành chi hưng ...
雖出於眾心及其亡也亦由三綱之不正焉	tuy xuất ư chúng tâm, cập kì vong dã, diệc do tam cương chi bất chính yên.
大行廢丁皇之子而降為衛王則無君臣之󰒂生子有九而不早定皇儲則無父子之恩立后有五而上蒸丁后則無夫婦之道知有欲而不知有󰒂知有身而不知有子好殺而不好生好刑而不好德身既亡而國隨滅由不仁之積也	Đại Hành phế Đinh Hoàng chi tử nhi giáng vi Vệ Vương, tắc vô quân thần chi nghĩa; sinh tử hữu cửu nhi bất tảo định hoàng trừ, tắc vô phụ tử chi ân; lập hậu hữu ngũ nhi thượng chưng Đinh Hậu, tắc vô phu phụ chi đạo; tri hữu dục nhi bất tri hữu nghĩa, tri hữu thân nhi bất tri hữu tử, hiếu sát nhi bất hiếu sinh, hiếu hình nhi bất hiếu đức, thân kí vong nhi quốc tuỳ diệt, do bất nhân chi tích dã.
李太祖因卧朝之失德恊震文之休祥應天順人乘時啓運有寬人之大度有宏遠之䂓模迁都定鼎敬天愛民田租有賜賦役有制南北通好	Lí Thái Tổ nhân Ngoạ Triều chi thất đức, hiệp chấn văn chi hưu tường, ứng thiên thuận nhân, thừa thời khải vận, hữu khoan nhân chi đại độ, hữu hoành viễn chi quy mô, thiên đô định đỉnh, kính thiên ái dân, điền tô hữu tứ, phú dịch hữu chế, Nam Bắc thông hiếu, ...
天下晏然	thiên hạ yến nhiên.
然聖𭓇不開儒風未振僧尼半於民間佛寺滿於天下非創業垂統之道也	Nhiên thánh học bất khai, nho phong vị chấn, tăng ni bán ư dân gian, phật tự mãn ư thiên hạ, phi sáng nghiệp thuỳ thống chi đạo dã.
太宗勇智兼全征伐四克友好友之德習禮樂之文討賊平戎勸農耕籍伸寃有鍾制刑有律爲守成之令主也	Thái Tông dũng trí kiêm toàn, chinh phạt tứ khắc, hữu hiếu hữu chi đức, tập lễ nhạc chi văn, thảo tặc bình nhung, khuyến nông canh tịch, thân oan hữu chung, chế hình hữu luật, vi thủ thành chi lệnh chủ dã.
然耽僊遊詩偈之禅感西天𰙔調之曲非經國子民之道也	Nhiên đam Tiên Du thi kệ chi thiền, cảm Tây Thiên ca điệu chi khúc, phi kinh quốc tử dân chi đạo dã.
聖宗恤民重農柔遠䏻迩置博𭓇之科重養廉之令秘閣之有其官明倫之有其制文脩武僃海内謐寕爲嗣德之賢君也	Thánh Tông tuất dân trọng nông, nhu viễn năng nhĩ, trí Bác học chi khoa, trọng dưỡng liêm chi lệnh, bí các chi hữu kì quan, Minh Luân chi hữu kì chế, văn tu vũ bị, hải nội mật ninh, vi tự đức chi hiền quân dã.
然疲民力以築報天之㙮費民財以造霪	Nhiên bì dân lực dĩ trúc Báo Thiên chi tháp, phí dân tài dĩ tạo Dâm ...
潭之宫此其短也	Đàm chi cung, thử kì đoản dã.
仁宗天資仁孝稱爲盛德重名臣之󰱇置進士之科侍經筵之有其官開言路之有其詔求賢納諫薄賦輕徭故䏻身致太平俗臻殷富足為承平之令主也	Nhân Tông thiên tư nhân hiếu, xứng vi thịnh đức, trọng danh thần chi tuyển, trí Tiến sĩ chi khoa, thị Kinh diên chi hữu kì quan, khai ngôn lộ chi hữu kì chiếu, cầu hiền nạp gián, bạc phú khinh dao, cố năng thân trí thái bình, tục trăn ân phú, túc vi thừa bình chi lệnh chủ dã.
然開覧山宴而咱母后之盤遊鑄龜田鍾而𨺻僧尼之簧惑此其失也	Nhiên khai Lãm Sơn yến nhi thính mẫu hậu chi bàn du, chú Quy Điền chung nhi hãm tăng ni chi hoàng hoặc, thử kì thất dã.
神宗脩政立事任賢使䏻設宏詞之科定兵農之令政則勤矣	Thần Tông tu chính lập sự, nhiệm hiền sử năng, thiết Hoành từ chi khoa, định binh nông chi lệnh, chính tắc cần hĩ.
然酷好祥瑞崇尚浮屠破敵而㱕功於佛献鹿而得濫其官何其愚也英宗設講武之塲以嚴武僃脩孔子之庙以	Nhiên khốc hiếu tường thuỵ, sùng thượng phù đồ, phá địch nhi quy công ư Phật, hiến lộc nhi đắc lạm kì quan, hà kì ngu dã? Anh Tông thiết giảng võ chi trường dĩ nghiêm vũ bị, tu Khổng Tử chi miếu dĩ ...
振文風	chấn văn phong.
籍田有耕圜法有立治則詳矣	Tịch điền hữu canh, viên pháp hữu lập, trị tắc tường hĩ.
然儉邪莫辨賞罰不明𫳭任奸臣而開象脚之路崇信佛老而制僧道之科何其暗也髙宗初年專任蘇憲誠李敬脩之賢臣共圖政治賑貧有令求賢有詔故天資嘉瑞以前其政猶有可觀	Nhiên kiệm tà mạc biện, thưởng phạt bất minh, sủng nhiệm gian thần, nhi khai tượng cước chi lộ, sùng tín Phật Lão, nhi chế tăng đạo chi khoa, hà kì ám dã? Cao Tông sơ niên, chuyên nhiệm Tô Hiến Thành, Lí Kính Tu chi hiền thần, cộng đồ chính trị, chẩn bần hữu lệnh, cầu hiền hữu chiếu, cố Thiên Tư Gia Thuỵ dĩ tiền, kì chính do hữu khả quan.
至天嘉寳祐以後土木蝟興盗賊蜂起而亡國之兆已萌於此矣	Chí Thiên Gia Bảo Hựu dĩ hậu, thổ mộc vị hưng, đạo tặc phong khởi, nhi vong quốc chi triệu dĩ manh ư thử hĩ.
惠宗󰱏縱荒淫委政蘇忠嗣陳慶餘之權臣君弱臣強天怨民怒政暴刑繁民窮盗起而䘮國之兆以决於斯矣	Huệ Tông đam túng hoang dâm, uỷ chính Tô Trung Tự, Trần Khánh Dư chi quyền thần, quân nhược thần cường, thiên oán dân nộ, chính bạo hình phồn, dân cùng đạo khởi, nhi táng quốc chi triệu dĩ quyết ư tư hĩ.
加以昭皇女主	Gia dĩ, Chiêu Hoàng nữ chủ, ...
負苛不堪陳氏因之以移李祚可勝惜㢤抑又論之李朝之時世更八帝傳祚二百餘年所可稱者太祖有帝王之量太宗有智勇之資聖宗有愛民之仁仁宗有惠民之德	phụ hà bất kham, Trần thị nhân chi dĩ di Lí tộ, khả thắng tích tai! Ức hựu luận chi: Lí triều chi thời thế canh bát đế, truyền tộ nhị bách dư niên, sở khả xưng giả Thái Tổ hữu đế vương chi lượng, Thái Tông hữu trí dũng chi tư, Thánh Tông hữu ái dân chi nhân, Nhân Tông hữu huệ dân chi đức.
然太祖立后者三情牽於爱而家道不正	Nhiên Thái Tổ lập hậu giả tam, tình khiên ư ái, nhi gia đạo bất chính.
太宗制峯有五當哀而樂而孝道以𧇊	Thái Tông chế phong hữu ngũ, đương ai nhi lạc, nhi hiếu đạo dĩ khuy.
聖宗蹈太祖之轍而立后過制	Thánh Tông đạo Thái Tổ chi triệt, nhi lập hậu quá chế.
仁宗惑生母之言而幽殺嫡母至於禁嫁百官之女則神宗溺乱女色之迷也	Nhân Tông hoặc sinh mẫu chi ngôn, nhi u sát đích mẫu; chí ư cấm giá bách quan chi nữ, tắc Thần Tông nịch loạn nữ sắc chi mê dã.
爱養滛乱之臣則英宗嬖𫳭儉人之過也	Ái dưỡng dâm loạn chi thần, tắc Anh Tông bế sủng kiệm nhân chi quá dã.
髙宗以荒滛爲樂	Cao Tông dĩ hoang dâm vi lạc, ...
惠宗以酒色自娛	Huệ Tông dĩ tửu sắc tự ngu.
帝王脩齊治平之道果如是乎在朝之臣則有李道成之托孤蘇憲誠之輔政彷彿乎伊尹周公之忠爱固可嘉矣	Đế vương tu tề trị bình chi đạo, quả như thị hồ? Tại triều chi thần tắc hữu Lí Đạo Thành chi thác cô, Tô Hiến Thành chi phụ chính, phảng phất hồ Y Doãn, Chu Công chi trung ái, cố khả gia hĩ.
至於陶甘沐陶碩輔梁任文陶處中李道紀廖嘉貞金英傑曹良翰楊景通魏仲弘刘禹儞李公平黄義賢李敬脩之諸彦不䏻正其君以成俗宜其治之不古若也	Chí ư Đào Cam Mộc, Đào Thạc Phụ, Lương Nhậm Văn, Đào Xử Trung, Lí Đạo Kỉ, Liêu Gia Trinh, Kim Anh Kiệt, Tào Lương Hàn, Dương Cảnh Thông, Nguỵ Trọng Hoằng, Lưu Vũ Nễ, Lí Công Bình, Hoàng Nghĩa Hiền, Lí Kính Tu chi chư ngạn, bất năng chính kì quân dĩ thành tục, nghi kì trị chi bất cổ nhược dã.
他如杜英武之驕滛譚以𫎇之暴横何足道㢤	Tha như Đỗ Anh Vũ chi kiêu dâm, Đàm Dĩ Mông chi bạo hoành, hà túc đạo tai.
陳太宗應天命之㱕受昭皇之樿有仁厚之德有簡重之容討叛保民設科取	Trần Thái Tông ứng thiên mệnh chi quy, thụ Chiêu Hoàng chi thiện, hữu nhân hậu chi đức, hữu giản trọng chi dung, thảo phản bảo dân, thiết khoa thủ ...
士	sĩ.
宰相則擇宗室賢䏻朝典則定禮󰀩刑律陳家制度由此而興	Tể tướng tắc trạch tông thất hiền năng, triều điển tắc định lễ nghi hình luật, Trần gia chế độ do thử nhi hưng.
然閨門慙德踵於唐太之昏風	Nhiên khuê môn tàm đức, chủng ư Đường Thái chi hôn phong.
聖宗有仁恕之心有孝悌之德仁親睦族尊賢重道侍經筵則擇其賢良輔東宫則󰱇其德行陳家基業由此而固	Thánh Tông hữu nhân thứ chi tâm, hữu hiếu đễ chi đức, nhân thân mục tộc, tôn hiền trọng đạo, thị Kinh diên tắc trạch kì hiền lương, phụ Đông cung tắc tuyển kì đức hạnh, Trần gia cơ nghiệp do thử nhi cố.
然釋教󰱏心流於梁武之弊習	Nhiên Thích giáo đam tâm, lưu ư Lương Vũ chi tệ tập.
仁宗得聖賢之精有金僊之相體質渾全慈仁和易	Nhân Tông đắc Thánh hiền chi tinh, hữu kim tiên chi tướng, thể chất hồn toàn, từ nhân hoà dị.
