大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
及還至白鶴江江中有石堆浩流船多觸	Cập hoàn, chí Bạch Hạc giang giang trung hữu thạch đồi hạo lưu thuyền đa xúc.
閣聞其臣曰輔武大王上皇𡧸禱曰御舟安行則加褒賞	Các văn kì thần viết: Phụ Vũ đại vương Thượng hoàng mật đảo viết Ngự chu an hành tắc gia bao thưởng.
後興孝王討沱江蠻泊白鶴江夜夢神曰前年帝有褒賞之命至是無聞	Hậu Hưng Hiếu Vương thảo Đà Giang man bạc Bạch Hạc giang dạ mộng thần viết: Tiền niên Đế hữu bao thưởng chi mệnh chí thị vô văn.
興孝王回奏上皇乃加封二字鬼神靈應信不誣矣	Hưng Hiếu Vương hồi tấu Thượng hoàng nãi gia phong nhị tự quỷ thần linh ứng tín bất vu hĩ .
以武堯佐為入内行遣門下右司郎中堯佐洪州人與弟農上皇當宁	Dĩ Vũ Nghiêu Tá vi Nhập nội hành khiển môn hạ hữu ti lang trung Nghiêu Tá [Hồng châu nhân,] dữ đệ Nông Thượng hoàng đương trữ..
時宁門?之間人君視朝所宁立處	thời [trữ môn [UNK] chi gian nhân quân thị triều sở trữ lập xứ,].
同登第並以文學稱堯佐為行遣同知内𡧸院至是授是職	đồng đăng đệ tịnh dĩ văn học xưng Nghiêu Tá vi Hành khiển đồng tri Nội mật viện Chí thị thụ thị chức.
大越史記本紀全書卷之六終	Đại Việt sử ký bản kỷ toàn thư quyển chi lục [chung].
大越史記本紀全書卷之七〇	Đại Việt sử ký bản kỷ toàn thư quyển chi thất .
陳紀憲宗皇帝諱旺明宗次子嫡母憲慈宣聖皇太后親生母明慈皇太妃黎氏也	Trần Kỷ Hiến Tông Hoàng Đế [huý Vượng, Minh Tông thứ tử, đích mẫu Hiến Từ Tuyên Thánh Hoàng Thái Hậu, thân sinh mẫu Minh Từ Hoàng Thái Phi Lê thị dã].
在位十三年壽二十三崩塟昌安陵〇	Tại vị thập tam niên, thọ nhị thập tam, băng táng Xương an lăng .
帝天資英睿運撫升平然享年不永未見其所行	Đế thiên tư anh duệ, vận phủ thăng bình, nhiên hưởng niên bất vĩnh, vị kiến kì sở hành.
惜哉	tích tai!.
庚午開祐二年元至順元年夏五月以誕日為會天節〇	Canh Ngọ Khai Hựu nhị niên, [Nguyên Chí Thuận nguyên niên,] hạ ngũ nguyệt, dĩ đản nhật vi Hội Thiên tiết .
秋七月順聖保慈皇太后崩于安生木杲庵	Thu thất nguyệt, Thuận Thánh Bảo Từ Hoàng Thái Hậu băng vu Yên Sinh Mộc Cảo am.
太后性仁慈凣英宗子雖庶出皆愛護撫育如己子	Thái hậu tính nhân từ, phàm Anh Tông tử tuy thứ xuất giai ái hộ phủ dục như kỷ tử.
惠真公主英宗所鍾愛太后亦加愛之	Huệ Chân công chúa Anh Tông sở chung ái, Thái hậu diệc gia ái chi.
天真太后	Thiên Chân thái hậu..
出也	xuất dã.
或賜𧶘則先與惠真而後及天真	Hoặc tứ lãi tắc tiên dữ Huệ chân nhi hậu cập Thiên Chân.
英宗崩後善視惠真盖有加焉	Anh Tông băng hậu, thiện thị Huệ Chân cái hữu gia yên.
至於遇列嬪亦甚厚如宫中㚴㜮王氏惠真所出也有寵懷娠	Chí ư ngộ liệt tần diệc thậm hậu, như cung trung bố lãm Vương thị, Huệ Chân sở xuất dã, hữu sủng hoài thần.
太后以雙香堂太后正寝為坐蓐所	Thái hậu dĩ Song Hương Đường [Thái Hậu chính tẩm,] vi toạ nhục sở.
王氏後産而亡	Vương thị hậu sản nhi vong.
宫人私言上皇曰太后殺王氏	Cung nhân tư ngôn Thượng hoàng viết: Thái hậu sát Vương thị.
上皇素知太后慈仁因大怒笞之太后亦不以關懷	Thượng hoàng tố tri Thái hậu từ nhân, nhân đại nộ si chi, thái hậu diệc bất dĩ quan hoài.
寶惠國母即保慈寀后母常請元徽即威惠女保慈姪女入宫為妃	Bảo Huệ Quốc mẫu [tức Bảo Từ Thái Hậu mẫu, thường thỉnh Nguyên Huy [tức Uy Huệ nữ Bảo Từ điệt nữ,] nhập cung vi phi.
上皇以啓太后太后曰不可元徽為妃將使淑姿稱奴耶	Thượng hoàng dĩ khải Thái hậu, Thái hậu viết: Bất khả Nguyên Huy vi phi tương sử Thục Tư xưng nô da.
其不以私恩濫予如此	Kì bất dĩ tư ân lạm dư như thử.
時稱母德之冠焉	Thời xưng mẫu đức chi quán yên.
自奉英宗梓官歸安生一齋一粥	Tự phụng Anh Tông tử quan quy Yên Sinh, nhất trai nhất chúc..
諸般苦行無所不為但不肯受僧戒	chư ban khổ hành vô sở bất vi, đản bất khẳng thụ tăng giới.
曰先帝晏駕後予不可見僧面對僧語惟齋粥苦行以報如天大德奚以衣鉢為哉住山十年而崩〇	Viết: Tiên Đế yến giá hậu, dư bất khả kiến tăng diện đối tăng ngữ, duy trai chúc khổ hành dĩ báo như thiên đại đức hề, dĩ y bát vi tai? Trú sơn thập niên nhi băng .
佐聖太師昭文大王日燏卒	Tá Thánh Thái sư Chiêu Văn Đại vương Nhật Duật tốt.
年七十七日燏好與外國人遊常騎象遊婆伽村	[niên thất thập thất,] Nhật Duật hiếu dữ ngoại quốc nhân du, thường kị tượng du Bà Già thôn.
其村廻李聖宗征占城虜獲占人居之以占語命名多加離後訛為婆伽或三四日後返又遊祥符寺與宋僧談語信宿乃回	[Kì thôn hồi Lí Thánh Tông chinh Chiêm Thành lỗ hoạch Chiêm nhân cư chi dĩ Chiêm ngữ mệnh danh Đa Gia Li, hậu ngoa vi Bà Già hoặc tam tứ nhật, hậu phản hựu du Tường Phù tự dữ Tống tăng đàm ngữ, tín túc nãi hồi.
凣外國人來京者徃徃雜至其家如宋客則對坐交床講話竟日占人雜蠻亦各以其國俗接之仁宗時󰀋馬錫國使來貢求能通語者不可得獨	Phàm ngoại quốc nhân lai kinh giả vãng vãng tạp chí kì gia như Tống khách tắc đối toạ giao sàng giảng thoại cánh nhật, Chiêm nhân tạp man diệc các dĩ kì quốc tục tiếp chi Nhân Tông thời, sách Mã Tích quốc sứ lai cống, cầu năng thông ngữ giả bất khả đắc độc..
日燏能之	Nhật Duật năng chi.
或問其故曰太宗時北國使至因與之遊故少通其語耳	Hoặc vấn kì cố viết: Thái Tông thời Bắc quốc sứ chí nhân dữ chi du, cố thiểu thông kì ngữ nhĩ.
仁宗嘗曰昭文叔盖蕃落人後身故善為諸國語	Nhân Tông thường viết: Chiêu Văn thúc cái Phiên lạc nhân hậu thân cố thiện vi chư quốc ngữ.
既入相每過宋人陳道詔家對坐清談移時不倦	Kí nhập tướng, mỗi quá Tống nhân Trần Đạo Chiếu gia đối toạ thanh đàm di thời bất quyện.
英宗聞之曰祖父為宰相道詔雖宋人既有翰林奉㫖𡸈可對坐故事元使至必使通語者傅譯宰相不可與語慮或有失必諉之通語者	Anh Tông văn chi viết: Tổ phụ vi Tể tướng, Đạo Chiếu tuy Tống nhân ký hữu Hàn lâm phụng chỉ há khả đối toạ? Cố sự, Nguyên sứ chí tất sử thông ngữ giả phó dịch, tể tướng bất khả dữ ngữ, lự hoặc hữu thất tất uỷ chi thông ngữ giả.
日燏則不然其接元使每與之語不假傅譯	Nhật Duật tắc bất nhiên, kì tiếp Nguyên sứ mỗi dữ chi ngữ bất giả phó dịch.
及使就歇次乃携手俱入飲酒如平生歡	Cập sứ tựu yết thứ nãi huề thủ cụ nhập ẩm tửu như bình sinh hoan.
使曰君乃真定人來仕此耳日燏深拒之而彼終不之	Sứ viết: Quân nãi Chân Định nhân lai sĩ thử nhĩ! Nhật Duật thâm cự chi, nhi bỉ chung bất chi..
信盖其容貌言語皆似真定人	tín, cái kì dung mạo ngôn ngữ giai tự Chân Định nhân.
英宗欲尊宣慈皇太后為太皇太后未知所以家尊	Anh Tông dục tôn Tuyên Từ Hoàng thái hậu vi Thái Hoàng Thái Hậu vị tri sở dĩ gia tôn.
欽慈皇太后以問即以太皇太后封	Khâm Từ Hoàng thái hậu dĩ vấn, tức dĩ Thái hoàng Thái hậu phong.
英宗有武帽二乃廵師及講武所御也而名號未稱	Anh Tông hữu võ mão nhị, nãi tuần sư cập giảng võ sở ngự dã nhi danh hiệu vị xưng.
方征占城将御以行使日燏命名即名其一曰武威一曰武德	Phương chinh Chiêm Thành tương ngự dĩ hành, sử Nhật Duật mệnh danh, tức danh kì nhất viết Vũ Uy, nhất viết Vũ Đức.
至於東宫一撮齋資善堂之名皇太子學曰資善堂宫太子學曰撮齋亦皆所命音樂節奏𰙔舞曲調亦皆日燏所作	Chí ư Đông Cung nhất Toát Trai, Tư Thiện đường chi danh [Hoàng thái tử học viết Tư Thiện Đường Đông cung thái tử học viết Toát trai,] diệc giai sở mệnh âm nhạc, tiết tấu, ca vũ, khúc điều, diệc giai Nhật Duật sở tác.
紹保末守宣光收物寨	Thiệu Bảo mạt, thủ Tuyên Quang Thu Vật trại.
胡虜𥘉臨境昭國奏昭文在宣光應在上呼胡虜矣	Hồ lỗ sơ lâm cảnh, Chiêu Quốc tấu Chiêu Văn tại Tuyên Quang ứng tại thượng hô hồ lỗ hĩ.
日燏喜宋人遊故昭國云然宣光失守	[Nhật Duật hỉ Tống nhân du cố Chiêu Quốc vân nhiên,] Tuyên Quang thất thủ.
日燏沿流	Nhật Duật duyên lưu..
而下虜軍傅两岸邊追躡之	nhi hạ, lỗ quân phó lưỡng ngạn biên truy niếp chi.
日燏顧虜軍徐行謁士眾曰凣追則要速今徐徐然行恐有前軍把截亟	Nhật Duật cố lỗ quân từ hành, yết sĩ chúng viết: Phàm truy tắc yếu tốc, kim từ từ nhiên hành, khủng hữu tiền quân bả tiệt cực.
遣人視之果見虜以横截下流登陸乃免	Khiến nhân thị, chi quả kiến lỗ dĩ hoành tiệt hạ lưu, đăng lục nãi miễn.
其為為人雅量喜怒不形於色家未嘗鞭以以笞奴隷或笞之則數其過失然後行笞嘗命家僮守舟國父家僮敺之其人馳吿	Kì vi vi nhân nhã lượng, hỉ nộ bất hình ư sắc, gia vị thường tiên ve-chu dĩ si nô lệ hoặc si chi tắc số kì quá thất, nhiên hậu hành si Thường mệnh gia đồng thủ chu Quốc phụ gia đồng khu chi kì nhân trì cáo.
日燏曰死亡耶曰但敺傷耳	Nhật Duật viết: Tử vong da? Viết: Đản khu thương nhĩ.
曰不死則已奚吿為	Viết: Bất tử tắc dĩ hề cáo vi.
又有人訟家婢於國父	Hựu hữu nhân tụng gia tì ư Quốc phụ.
國父令家僮收捕	Quốc phụ lệnh gia đồng thu bổ.
婢走入府中捕者追至中堂擊捉喧閙	Tì tẩu nhập phủ trung bổ giả truy, chí trung đường kích tróc huyên náo.
夫人泣曰恩主宰相也	Phu nhân khấp viết: Ân chúa tể tướng dã.
平章亦宰相也	Bình Chương diệc Tể tướng dã.
縁恩	Duyên ân..
主仁柔故人輕易至此	chúa nhân nhu, cố nhân khinh dị chí thử.
日燏從容不應徐令人謂婢曰汝第出處處都有國法	Nhật Duật thong dong bất ứng từ, lệnh nhân vị tì viết: Nhữ đệ xuất, xứ xứ đô hữu quốc pháp.
又涉獵史籍篤慕玄教通於冲典冲深也飛也虚也老子太盈若虚虚作冲時以該博稱上皇方幼孺在閣有疾常命行安鎮符法	Hựu thiệp liệp sử tịch đốc mộ Huyền giáo, thông ư xung điển, [xung thâm dã phi dã hư dã lão. tử thái doanh nhược hư hư tác xung,] Thời, dĩ cai bác xưng Thượng hoàng phương ấu, nhụ tại các hữu tật, thường mệnh hành an trấn phù pháp.
其被氅加冠如道士状	Kì bị sưởng gia quán như đạo sĩ trạng.
小君貞肃夫人嘗有私請日燏頷之及出府庭記室以其事呈日燏不之許	Tiểu quân Trinh Túc phu nhân thường hữu tư thỉnh, Nhật Duật hạm chi, cập xuất phủ đình ký thất dĩ kì sự trình, Nhật Duật bất chi hứa.
以親王之貴歴事四朝三領鉅鎮家居無日不開倡優塲作戲樂而人不以為淫	Dĩ thân vương chi quý lịch sự tứ triều tam lĩnh cự trấn, gia cư vô nhật bất khai xướng ưu trường tác hí lạc, nhi nhân bất dĩ vi dâm.
較之郭子儀窮奢極欲而人不之非者殆庶幾焉	Giảo chi Quách Tử Nghi cùng xa cực dục nhi nhân bất chi phi giả, đãi thứ kỷ yên.
貞肅清化人也故日燏家妾	Trinh Túc Thanh Hoá nhân dã, cố Nhật Duật gia thiếp..
皆清化人而其子皆清化女所出	giai Thanh Hoá nhân, nhi kì tử giai Thanh Hoá nữ sở xuất.
厥後除清化知府每以日燏子孫爲之如國康之於演州是也〇	Quyết hậu, trừ Thanh Hoá tri phủ mỗi dĩ Nhật Duật tử tôn vi chi, như Quốc Khang chi ư Diễn Châu thị dã .
陳克終卒	Trần Khắc Chung tốt.
贈少師	Tặng Thiếu sư.
克終為人矯情干譽不事家業	Khắc Chung vi nhân kiểu tình can dự, bất sự gia nghiệp.
每日晨入朝則於永昌門尚輦局次歇審觀奏簿以僃陳奏	Mỗi nhật thần nhập triều, tắc ư Vĩnh Xương môn, Thượng Liễn cục, thứ yết thẩm quan tấu bạ, dĩ bị trần tấu.
朝退則就東宫明宗時在東宫教授皆強矯爲之	Triều thoái tắc tựu Đông cung [Minh Tông thời tại Đông cung,] giáo thụ, giai cường kiểu vi chi.
常與學士阮士固博戲或二三日夜以斷晝只據枰啜粥不假少息	Thường dữ Học sĩ Nguyễn Sĩ Cố bác hí hoặc nhị tam nhật dạ dĩ đoạn trú chỉ cứ bính xuyết chúc bất giả thiếu tức.
其贏偷止一二緍而用心太苦如此	Kì doanh thâu chỉ nhất nhị mân nhi dụng tâm thái khổ như thử.
又如朋友周晬落成等日邀請一一皆往	Hựu như bằng hữu chu tối lạc thành đẳng nhật yêu thỉnh, nhất nhất giai vãng.
甚至醫官家有兼味則就其家	Thậm chí y quan gia hữu kiêm vị, tắc tựu kì gia.
軍人供食則嘉其	Quân nhân cúng thực tắc gia kì..
妻	thê.
一日謂其子公綽曰汝娶其家女何不見告𥘉娶寳環	Nhất nhật vị kì tử Công Xước viết: Nhữ thú kì gia nữ hà bất kiến cáo? Sơ thú Bảo Hoàn.
重興間元人入冦寳環父母降虜田産並没官	Trùng Hưng gian, Nguyên nhân nhập khấu, Bảo Hoàn phụ mẫu hàng lỗ, điền sản tịnh một quan.
及帝即位詔還之不以供時祀	Cập Đế tức vị, chiếu hoàn chi, bất dĩ cúng thời tự.
其趨時外節又如此	Kì xu thời ngoại tiết hựu như thử.
惟行成一事可觀故人皆稱賢	Duy hành thành nhất sự khả quan cố, nhân giai xưng hiền.
歸塟𰎟山紹武家奴斬碎其尸	Quy táng giáp Sơn Thiệu Võ gia nô trảm toái kì thi.
辛未三年元至順二年元遣史部尚書撒只瓦來吿文宗即位〇	Tân Mùi tam niên, [Nguyên Chí Thuận nhị niên,] Nguyên khiến Sử bộ Thượng thư Tản Chỉ Ngoã lai cáo Văn Tông tức vị .
遣使如元賀〇	Khiến sứ như Nguyên hạ .
上皇御重光宫皇子暊空武切侍	Thượng hoàng ngự Trùng Quang cung Hoàng, tử phủ [không vũ thiết,] thị.
遇大風雨應制賦詩云安得壯士力盖世可禦大屋之頽風上皇賞金十兩	Ngộ đại phong vũ, ứng chế phú thi vân: An đắc tráng sĩ lực cái thế, Khả ngự đại ốc chi đồi phong Thượng hoàng thưởng kim thập lượng.
暊年十一	[Phũ niên thập nhất,]..
壬申四年元至順三年春二月十五日祔塟順聖保慈皇太后于泰陵	Nhâm Thân tứ niên, [Nguyên chí Thuận tam niên,] xuân nhị nguyệt, thập ngũ nhật, phụ táng Thuận Thánh Bảo Từ Hoàng thái hậu vu Thái Lăng.
先是上皇命日官擇塟日有駁之曰以今年塟必害祭主	Tiên thị, Thượng hoàng mệnh nhật quan trạch táng nhật, hữu bác chi viết: Dĩ kim niên táng tất hại tế chủ.
上皇使問曰汝知予明年必死耶對曰不知也	Thượng hoàng sử vấn viết: Nhữ tri dư minh niên tất tử da? Đối viết: Bất tri dã.
又問曰如明年以徃予必不死則緩塟母后可也	Hựu vấn viết: Như minh niên dĩ vãng dư tất bất tử, tắc hoãn táng mẫu hậu khả dã.
如明年予死而母后襄成事曰襄事不猶愈於徒死乎夫吉禮凶禮必須擇日重其事也𡸈陰陽家拘泥禍福之謂哉卒行塟禮〇	Như minh niên dư tử nhi mẫu hậu nhượng [thành sự viết nhượng,] sự bất do dũ ư đồ tử hồ? Phu cát lễ hung lễ tất tu trạch nhật trọng kì sự dã, há âm dương gia câu nệ hoạ phúc chi vị tai! Tốt hành táng lễ .
三月以阮忠彦為内𡧸院副使掌官朝内省籍〇	Tam nguyệt, dĩ Nguyễn Trung Ngạn vi Nội mật viện phó sứ, chưởng quan triều nội tỉnh tịch .
秋七月以阮忠彦知審刑院事兼清化安撫使	Thu thất nguyệt, dĩ Nguyễn Trung Ngạn tri Thẩm hình viện sự kiêm Thanh Hoá An phủ sứ.
忠彦	Trung Ngạn..
立平𠃔堂决獄訟無寃濫	lập Bình doãn đường, quyết ngục tụng vô oan lạm.
癸酉五年元順帝妥懽帖睦兒元統元年秋七月大水〇	Quý Dậu ngũ niên, [Nguyên Thuận Đế Thoả Hoan Thiếp Mục Nhi Nguyên Thống nguyên niên,] thu thất nguyệt đại thuỷ .
大譏	Đại cơ.
甲戌六年元元統二年春中書增置左右正言參議〇	Giáp Tuất lục niên, [Nguyên Nguyên Thống nhị niên,] xuân Trung thư tăng trí tả hữu chính ngôn tham nghị .
上皇廵守乂安道親征哀牢以阮中彦充清化𤼵運使運糧先行車駕至黔州軍聲大振哀牢望風而遁詔忠彦磨崖紀功而還乙亥七年元至元元年元遣史部尚書鉄柱來吿順帝即位〇	Thượng hoàng tuần thú Nghệ An đạo thân chinh Ai Lao Dĩ Nguyễn Trung Ngạn sung Thanh Hoá phát vận sứ vận lương tiên hành Xa giá chí Kiềm Châu quân thanh đại chấn Ai Lao vọng phong nhi độn, Chiếu Trung Ngạn ma nhai kỷ công nhi hoàn Ất Hợi thất niên, [Nguyên Chí Nguyên nguyên niên,] Nguyên khiến sử bộ thượng thư Thiết Trụ lai cáo Thuận Đế tức vị .
秋九月上皇親征哀牢敗績	Thu cửu nguyệt, Thượng hoàng thân chinh Ai Lao bại tích.
段汝諧溺死	Đoàn Nhữ Hài nịch tử.
先是上皇議親征哀牢不果	Tiên thị, Thượng hoàng nghị thân chinh Ai Lao bất quả.
至是又議親征而眼	Chí thị hựu nghị thân chinh nhi nhãn..
疾作	tật tác.
或請緩師上皇曰去年親征不果	Hoặc thỉnh hoãn sư, Thượng hoàng viết: Khứ niên thân chinh bất quả.
今年又以疾緩師	Kim niên hựu dĩ tật hoãn sư.
天下将謂予怯萬一北虜侵軼則吾将何特遂厥意親征	Thiên hạ tướng vị dư khiếp, vạn nhất Bắc lỗ xâm dật tắc ngô tướng hà đặc? Toại quyết ý thân chinh.
疾尋愈至乂安疾又作	Tật tầm dũ, chí Nghệ An tật hựu tác.
上皇乘舟力疾而行	Thượng hoàng thừa chu, lực tật nhi hành.
登陸乃	Đăng lục nãi.
愈時汝諧𬋩神武神策兼乂安經畧大使而哀牢侵南戎乃乂安之属邑故以汝諧為督将諸軍皆受節制	dũ Thời, Nhữ Hài quản Thần Võ, Thần Sách kiêm Nghệ An kinh lược đại sứ nhi Ai Lao xâm Nam Nhung nãi Nghệ An chi thuộc ấp, cố dĩ Nhữ Hài vi đốc tướng chư quân giai thụ tiết chế.
汝諧止率神武及乂安軍以行意哀牢㨿南戎其眾單弱擊之必克	Nhữ Hài chỉ suất Thần Võ cập Nghệ An quân dĩ hành ý Ai Lao cứ Nam Nhung kì chúng đơn nhược kích chi tất khắc.
且砦臨屑邏大江既克之後俘獲沿流而下過真臘及諸蕃國皆震耀兵威因諭諸國子弟入朝志欲邀	Thả trại lâm Tiết La đại giang ký khắc chi hậu phù hoạch duyên lưu nhi hạ quá Chân Lạp cập chư Phiên quốc giai chấn diệu binh uy, nhân dụ chư quốc tử đệ nhập triều, chí dục yêu..
奇功以凌同列	kì công dĩ lăng đồng liệt.
及交戰之日陰霧晦㝠賊先伏象馬夾攻	Cập giao chiến chi nhật, âm vụ hối minh tặc tiên phục tượng mã giáp công.
官軍大敗墮水死者過半汝諧在焉	Quan quân đại bại, đoạ thuỷ tử giả quá bán, Nhữ Hài tại yên.
上皇聞之曰汝諧用必克之謀乘必勝之勢攻垂成卒為賊所餌	Thượng hoàng văn chi viết: Nhữ Hài dụng tất khắc chi mưu thừa tất thắng chi thế công thuỳ thành tốt vi tặc sở nhĩ.
汝諧非不知料敵但所為過大而𦤶然耳	Nhữ Hài phi bất tri liệu địch, đản sở vi quá đại nhi trí nhiên nhĩ.
乃知人之期望不可踰分限也	Nãi tri nhân chi kì vọng bất khả du phân hạn dã.
史臣吳士連曰城濮之戰子玉有必勝之謀而終敗績為文公之所餌也	Sử thần Ngô Sĩ Liên viết: Thành Bộc chi chiến Tử Ngọc hữu tất thắng chi mưu nhi chung bại tích vi Văn Công chi sở nhĩ dã.
南戎之戰汝諧有必勝之謀亦以敗績為哀牢之所餌也	Nam Nhung chi chiến Nhữ Hài hữu tất thắng chi mưu diệc dĩ bại tích vi Ai Lao chi sở nhĩ dã.
彼二将者𡸈無才畧以至是哉乃驕而取敗也	Bỉ nhị tướng giả há vô tài lược dĩ chí thị tai! Nãi kiêu nhi thủ bại dã.
孔子曰臨	Khổng Tử viết: Lâm..
事而惧好謀而成	sự nhi cụ hảo mưu nhi thành.
行師之要莫大乎是𡸈有将之驕吝而能成功哉	Hành sư chi yếu mạc đại hồ! Thị há hữu tướng chi kiêu lận nhi năng thành công tai.
上皇之親征也	Thượng hoàng chi thân chinh dã.
杜天覰時𬋩快户軍即神策軍也方病篤命留後	Đỗ Thiên Thứ thời quản Khoái Hộ quân [tức Thần Sách quân dã,] phương bệnh, đốc mệnh lưu hậu.
天覰即令家人昇詣永安門外固請扈駕	Thiên Thứ tức lệnh gia nhân thăng nghệ Vĩnh An môn ngoại, cố thỉnh hộ giá.
曰臣寕死於營門之外不死於床蓐之	Viết: Thần ninh tử ư doanh môn chi ngoại bất tử ư sàng nhục chi.
間上皇嘉其志從之入賊境而卒	gian Thượng hoàng gia kì chí tòng chi, nhập tặc cảnh nhi tốt.
上皇嗟悼勑賜太常樂常祀	Thượng hoàng ta điệu sắc tứ Thái thường lạc thường tự.
後阮愈卒亦如之	Hậu Nguyễn Dũ tốt diệc như chi.
時常祀用太常樂惟行遣得之審刑止用齋内祭天覰賜太常祀盖時恩寵遇不下於行遣也史臣吳士連曰小人之用心也見利則進害則	[Thời thường tự dụng Thái thường nhạc duy hành khiển đắc chi, Thẩm hình chỉ dụng trai nội tế Thiên Thứ tứ Thái thường tự cái thời ân sủng ngộ bất hạ ư Hành khiển dã.] Sử thần Ngô Sĩ Liên viết: Tiểu nhân chi dụng tâm dã, kiến lợi tắc tiến hại tắc..
退惟求適己自便	thoái, duy cầu thích kỷ tự tiện.
故有見事而辭難者有當官而托故者鮮能急於其君也	Cố hữu kiến sự nhi từ nan giả hữu đương quan nhi thác cố giả tiên năng cấp ư kì quân dã.
天覰方病篤明宗命留後常人之情不過奉命而己乃故請扈從不願死於床蓐之間則其用心惟急於君上𡸈不為辭難托故者羞哉〇	Thiên Thứ phương bệnh đốc Minh Tông mệnh lưu hậu thường nhân chi tình bất quá phụng mệnh nhi kỷ, nãi cố thỉnh hộ tòng bất nguyện tử ư sàng nhục chi gian, tắc kì dụng tâm duy cấp ư quân thượng há bất vi từ nan thác cố giả tu tai! .
時有上将范蒼檜性柔和未嘗與人爭	Thời, hữu Thượng tướng Phạm Thương Cối tính nhu hoà, vị thường dữ nhân tranh.
陳吾郎每輕之蒼檜不為動至於攻戰則屢有功亦不以其功加人	Trần Ngô Lang mỗi khinh chi Thương Cối bất vi động, Chí ư công chiến tắc lũ hữu công diệc bất dĩ kì công gia nhân.
上皇常曰蒼檜之處己也近於郭子儀矣	Thượng hoàng thường viết: Thương Cối chi xử kỷ dã cận ư Quách Tử Nghi hĩ.
冬十月地震	Đông thập nguyệt, địa chấn.
丙子八年元至元二年春正月上皇自哀牢至京〇	Bính Tí bát niên, [Nguyên Chí Nguyên nhị niên,] xuân chính nguyệt, Thượng hoàng tự Ai Lao chí kinh .
秋七月大水〇	Thu thất nguyệt, đại thuỷ .
冬十月十九日上皇子皜生即裕宗也丁丑九年元至元三年夏六月二日上皇子曔生即睿宗也〇	Đông thập nguyệt, thập cửu nhật, Thượng hoàng tử Hạo sinh [tức Dụ Tông dã,] Đinh Sửu cửu niên, [Nguyên Chí Nguyên tam niên,] hạ lục nguyệt, nhị nhật, Thượng hoàng tử Kính sinh [tức Duệ Tông dã,] .
五月雷震瑞章殿遏雲亭〇	Ngũ nguyệt lôi chấn Thuỵ Chương điện, Át Vân đình .
彗星見東北〇	Tuệ tinh hiện Đông Bắc .
閲定文武官仍置諸省院属〇	Duyệt định văn võ quan những trí chư sảnh viện thuộc .
秋七月納平章惠肅王長女顯貞公主為宸妃〇	Thu thất nguyệt, nạp Bình Chương Huệ Túc Vương trưởng nữ Hiển Trinh công chúa vi Thần phi .
九月詔内外官考覈所𬋩属有供結者留在家不着役者出之〇	Cửu nguyệt, chiếu nội ngoại quan khảo hạch sở quản thuộc, hữu cúng kết giả lưu tại gia bất trước dịch giả xuất chi .
以阮忠彦為乂安安撫使兼國史院監修國史行快州路漕運使	Dĩ Nguyễn Trung Ngạn vi Nghệ An an phủ sứ kiêm Quốc sử viện giám tu quốc sử hành Khoái Châu lộ tào vận sứ.
忠彦建議立漕倉貯田租以賑饑民	Trung Ngạn kiến nghị lập Tào thương trữ điền tô dĩ chẩn cơ dân.
詔諸	Chiếu chư..
路倣行之命	lộ phỏng hành chi .
命興孝王討平牛吼蠻	Mệnh Hưng Hiếu Vương thảo bình Ngưu Hống man.
入鄭旗寨大破之斬其酋車焚	Nhập Trịnh Kì trại đại phá chi, trảm kì tù Xa Phần.
師還軍士皆爵賞	Sư hoàn, quân sĩ giai tước thưởng.
興孝王援仁惠討平南戎故事請賞守舟者	Hưng Hiếu Vương viện Nhân Huệ thảo bình Nam Nhung cố sự thỉnh thưởng thủ chu giả.
上皇曰󰆑餘之討南戎自乂安陸行數日至南戎江乃刻木為舟	Thượng hoàng viết: Khánh Dư chi thảo Nam Nhung tự Nghệ An lục hành số nhật chí Nam Nhung giang nãi khắc mộc vi chu.
是守賊境之舟非守乂安之舟也	Thị thủ tặc cảnh chi chu phi thủ Nghệ An chi chu dã.
今之守舟則異於是且有賞必有罰	Kim chi thủ chu tắc dị ư thị thả hữu thưởng tất hữu phạt.
其󰟨常相須如取舟欲籍戰勝受賞使戰者當死則守者亦子耶	Kì thế thường tương tu như thủ chu dục tịch chiến thắng thụ thưởng, sử chiến giả đương tử tắc thủ giả diệc tử da.
興孝對曰如無守舟軍中或聞賊以獲舟軍士能堅守乎上皇曰苟如此先賞在朝方可如京師不靖軍士其能赴敵乎興孝	Hưng Hiếu đối viết: Như vô thủ chu quân trung hoặc văn tặc dĩ hoạch chu quân sĩ năng kiên thủ hồ? Thượng hoàng viết: Câu như thử tiên thưởng tại triều phương khả như kinh sư bất tịnh quân sĩ kì năng phó địch hồ? Hưng Hiếu..
不能對	bất năng đối.
是役者興孝家僮范艾預有戰功	Thị dịch giả Hưng Hiếu gia đồng Phạm Ngải dự hữu chiến công.
上皇曰家奴雖有微撈不得預朝廷官爵	Thượng hoàng viết: Gia nô tuy hữu vi lao bất đắc dự triều đình quan tước.
詔給艾田率五分	Chiếu cấp Ngải điền suất ngũ phần.
